ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GX9C3XVR,"Nasal Strips for Snoring – Comfortable Nose Strips for Breathing,Anti Snoring Devices,Skin-Friendly Snoring Solution for Better Airflow & Restful Sleep",$13.99,"$1,814",23697,13,3.5,FBA,1,No
B0DCTGRV7C,"Performance Nose Strips for Breathing (60 Count) - Oil & Sweat Proof Adhesive - Athletic Nasal Strips for Snoring & Sleeping - Black, Wide, Universal Fit, Extra Strength Snoring Solution for Sleep",$22.95,"$4,816",11128,857,4.1,FBA,2,No
B0DYYXDD29,"Inhale Nasal Strips for Sleeping - Nose Tapes for Breathing - Anti Snoring Solution & Nasal Congestion Relief Nasal Tape - Universal Fit, Extra Strength for Sensitive Skin (Light Pink)",$9.95,$85,116459,146,3.7,FBA,3,No
B0GXDMB3CD,"Nasal Strips for Snoring Nose Strips for Breathing Enhanced Respiratory Efficiency Extra Strength Snoring Solution Nasal Dilators for Sleeping Improve Sleep and Exercise Quality - Black, 30 Count",$29.99,,51068,0,5,FBA,4,No
B0F7SYSF9M,"Universal Nose Strips for Breathing (60 Count) Oil&Sweat Proof Adhesive-Athletic Nasal Strips for Snoring & Sleeping-Army Green, Wide, Size Fit All Extra Strength Snoring Solution for Sleep USA Brand",$10.98,"$1,180",29083,112,4.3,FBA,5,No
B0BMKQHVN9,"Niveus Gentle Silicone Tape Strips - Dentist Developed, Clear Soft Perforated Silicone Adhesive, FSA HSA Approved, for Sensitive Skin (1 Blue Tape Roll)",$9.99,"$3,467",13084,1169,4,FBA,6,No
B0F1D184W9,"ZZSLEEP Nasal Strips (30 Strips) – Extra-Strength Strips for Better Sleep, Snoring Relief & Enhanced Breathing – Ideal for Sports, Exercise & Nighttime Use – Skin-Friendly, Sweat-Resistant Nose Tape",$9.99,$341,81535,38,4.3,FBA,7,No
B0F24YKY4Z,Better Than Mouth Tape for Sleeping MEW X AIR The 24 Hour Nose Breathing & Oxygen Enhancing Kit/Put Toxic Mouth Tape Sleep Tape & Nasal Strips in The bin/Reusable & Durable // Get Peak Performance,$19.99,$827,34004,538,3.2,FBA,8,No
B0GKZ46HV5,"120 Count Nasal Strips for Snoring,Gentle Hypoallergenic Sticker Tape for Sensitive Skin, Painless Removal, Breathable, Extra Strength Anti-snoring Solution",$21.98,$460,49069,2,5,FBA,9,No
B07FHM225F,"Breathe Right Nasal Strips, Extra Strength Clear Nose Strips, Drug-Free Nasal Congestion Relief for Better Breathing, Help Relieve Snoring, Caused by Colds & Allergies, Deviated Septum, 44ct",$17.59,"$75,690",370,18082,4.2,FBA,10,No
