ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B018S3KCUS,Mute Nasal Dilator Snoring Solution | Medium 3 Pack | Snore Less & Sleep Better | Nasal Strip Alternative | Comfortable Breathing Aids for Better Sleep & Improved Airflow,$20.99,"$18,957",2259,18446,3.5,FBA,1,No
B00B4S61QE,Air Max Nasal Dilators Trial Pack - Anti Snoring Devices - 76% More Airflow for Better Breathing & Against Nasal Congestion - Guaranteed Fit (1x Small & 1x Medium) - Reusable,$16.00,"$8,713",5595,14479,3.4,FBA,2,No
B00STPNB90,AIRMAX Nasal Dilator for Breathing - 76% More Airflow - Anti snoring Devices - Nostril Opener - Congestion Relief and snoring Solution - 1x Medium Orange,$14.00,$177,90269,2181,3.4,FBA,3,No
B0GTKBC8G2,"Nasal Strips for Snoring - Breathing Aid for Better Sleep & Snore Relief, Comfortable Nasal Dilator for Men & Women(60 Pieces)",$19.99,$166,114283,10,5,FBA,4,No
B009NTDH9U,"AIRMAX Nasal dilators for Sleeping - 76% More Airflow - Anti Snore Device - Breathe Freely Through the Nose - Sinus Relief, Sleep aid and snoring Solution - 2X Small Blue - 6 Month Relief",$18.00,$833,38748,167,3.7,FBA,5,No
B011LR55UU,MUTE by Rhinomed Nasal Dilator for Snore Reduction Starter Pack Increases Airflow Anti Snoring Devices Nasal Dilators for Sleeping Transparent Internal Nasal Dilator Snoring Solution,$17.99,"$18,957",2268,18454,3.5,FBA,6,No
B0GK6SWWJB,"Nasal Dilators for Sleeping,Anti Nose Clip to Ensure Deep Sleep, Snoring Nose Clip Nose Magnet for Breathing Strip, Effective Anti Snoring Devices(White & 8PCS)",$9.99,$151,51446,10,4.5,FBA,7,No
B0GXDMB3CD,"Nasal Strips for Snoring Nose Strips for Breathing Enhanced Respiratory Efficiency Extra Strength Snoring Solution Nasal Dilators for Sleeping Improve Sleep and Exercise Quality - Black, 30 Count",$29.99,$92,24395,0,5,FBA,8,No
B0C15QMSHH,"Intake Breathing — Magnetic Nasal Strips Starter Kit | Reusable Band + Tabs | Nasal Strips for Sleep, Snoring, Breathing & Sports | Stronger Lift Than Traditional Nose Strips | 4 Sizes, 30 Tabs, Black",$59.99,"$41,979",601,6630,3.9,FBA,9,No
B0GXFFGMRS,"Nasal Strips for Snoring, Extra Strength Snoring Solution Nose Strips, Improve Breathing and Sleep Quality (30 Count, Black)",$39.99,"$1,084",1116,179,2.7,FBA,10,No
