ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CPJCJC6T,"Beetles Nail Stamp Gel 16Pcs French Tip Nail Stamp Kit with 8 Colors Stamper Gel Polish, 5 Nail Stamping Templates, Scrapers, Liquid Latex & Short Silicone Stamper Gift for Women",$24.69,$730,21324,266,4.3,FBA,1,No
B0BVXV3XM8,"Dazzle Dry Complete Starter Mini Kit | Step 1 - Nail Prep, Step 2 - Base Coat, Step 4 - Top Coat, Transform - Ridge Filler & Revive - Polish & Top Coat Thinner.",$42.00,"$3,323",11931,508,4.2,FBA,2,No
B0BP6FS3Q9,modelones French Tip Tool- 6 Pcs Nail Stamp French Manicure Kit Suitable for DIY Together with Gel Nail Polish Art Tips Printing Tool Kit,$7.59,"$20,737",1086,6743,4.3,FBA,3,No
B0962K73ZW,"Dazzle Dry Mini Kit 4 Step System - Prima Ballerina, a sheer and milky delicate pink that makes a beautiful French base. (5 Piece Kit / 5 Manicures)",$39.00,"$10,511",2394,2800,4,FBA,4,No
B0FX9L1TPZ,2Pcs Nail Art Stamping Polish Gel Set - Black & White Ombre Gel Polish for Gradient Nails- Professional French Manicure Kit with Nail Stamper Scraper and Stamp Plate - UV/LED Curing Required,$9.99,$343,58431,46,4.4,FBA,5,No
B09WYG16XZ,Saviland French Tip Nail Stamp: 4PCS Nail Art Stamper Kit Clear Silicone Nails Stamping Long & Short Jelly Stamper with Scrapers Nails Stamper Kit for French Manicure Home DIY Salon,$7.99,$479,3487,8253,,FBA,6,No
B0CF5D5GXJ,"Biutee 15PCS Nail Art Stamping Plate 8 Nail Stamping Gel Polish Nail Stamping Kit Nail Stamper Scraper with Storage Bag, Lace Flower Butterfly Star Design Nail Stamp Template Kit for DIY Nail Art",$19.99,$924,32605,5766,4.1,FBA,7,No
B0BP17TS88,Biutee Nail Stamping Plates Set 15PCS Nail Stamping Kit with Nail Art Stamper & Scraper Nail Stamp Template Kit Lace Flower Butterfly Animal Pattern Nail Art Stencils for Manicure Salon Home DIY,$14.24,$924,30961,5766,4.1,FBA,8,No
B0GBVGY14P,Modelones 16PCS Plaid Nail Stamping Kit – French Tip Stamper White Black Painting Gel Polish Chrome Powder Proof Matte Gel Top Coat Gingham Template Dual Nail Art Brush Summer Manicure Gift for Women,$19.98,"$20,737",1139,6739,4.3,FBA,9,No
B0C9L73RZ7,AddFavor Nail Stamper Kit 7pcs Nail Stamping Plates Geometric Mandala Flower Nail Stencils with 2 Stamp and 2 Scraper for Home Salon Manicure Design Supplies Tools,$9.49,$559,32922,299,4,FBA,10,No
