ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GK13MXRR,"2-in-1 Oil Brush Bottle with Silicone Brush Head, Borosilicate Glass Oil Dispenser for BBQ, Grilling & Cooking, Leak-Proof & No Drip Design, Perfect for Outdoor Camping & Home Kitchen",$13.99,$275,,24,4.6,FBA,1,No
B079MFWRZC,"Olive Oil Dispenser Bottle - 16 oz, Made in Italy Glass Olive Oil and Vinegar Cruet with Stainless Steel Spout for Kitchen, Slight Green Tint (1, 473 ml)",$9.89,"$2,112",,11924,4.8,FBA,2,No
B0FXZVMQ7K,"PLAPITATE 17oz/500ml Premium Olive Oil Sprayer for Cooking, 2 in 1 Glass Olive Oil Dispenser Bottle for Kitchen Gadgets, Spray Bottle with Portion Control for Salad, Frying, BBQ (Black)",$17.99,"$1,171",,1768,4.4,FBA,3,No
B09D3N3NR9,Glass Olive Oil Dispenser Bottle Shatterproof and Leakproof with Stainless Steel Spouts High Temperature Resistant 17oz Cooking Oil and Vinegar Cruet Dispenser,$21.90,$868,,1177,4.4,FBA,4,No
B0DJXPTRW6,"YARRAMATE 16oz/470ml Light-Blocking Dark Oil Sprayer for Cooking, 2 in 1 Olive Oil Dispenser Bottle for Kitchen, Premium Dark Green Glass Oil Bottle, Food-Grade Oil Mister for Air Fryer, BBQ (Black)",$7.99,"$12,194",,9164,4.4,FBA,5,No
B0821Y5BS3,AOZITA 17oz Glass Olive Oil Bottle Dispenser - 500ml Green Oil and Vinegar Cruet with Pourers and Funnel - Olive Oil Carafe Decanter for Kitchen,$9.99,"$14,169",,52812,4.7,FBA,6,No
B0BC34MQKZ,"Leaflai Olive Oil Dispenser Bottle, 2 Pcs Glass Olive Oil Dispenser and Vinegar Dispenser Set with 2 Stainless Steel Pourers, 4 Labels,1 Brush and 1 Funnel Oil Bottles for Kitchen (500ml)",$8.54,"$6,804",,4602,4.6,FBA,7,No
B01M09XDW3,"Axe Sickle 2 Pcs Oil Spout Liquor Bottle Pourer Spouts Stainless Steel Speed Pour Spouts Olive Oil Dispenser Spout for About 3/4"" Bottle Mouth, with Flip Top",$5.99,"$1,544",,4899,4.5,FBA,8,No
B07ZQ713H9,"2PCS Stainless Steel Pourers, Speed Liquor Bottle Pourer, Olive Oil and Vinegar Tapered Stopper Spout, Suitable for About 3/4"" Bottle Mouth, Olive Oil Spout with Sealed Dust Caps",$6.29,"$3,097",,4589,4.5,FBA,9,No
B0BQGQ6539,"gmisun Olive Oil Dispenser for Kitchen, 4 Pack 17 fl oz Glass Oil Dispensers Bottle, Cooking Soy Sauce Bottle Container Cruet with Plastic Pourer Spout, Funnel and Labels, Clear",$14.99,"$2,572",,6421,4.6,FBA,10,No
