ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B075NS8YXG,"Brightech Ambience Pro Solar Powered Outdoor String Lights -27 ft Commercial Grade Waterproof Edison Patio Lights, Shatterproof LED String Lights for Outside, Porch - 12 Bulbs, 1W Soft White",$19.99,"$15,428",145,26123,4.5,FBA,1,No
B0BKFR84TK,"addlon 54FT(48+6) Solar String Lights Outdoor Waterproof with USB Charging & Remote Control - Dimmable Solar Power Patio Lights with LED Bulbs for Porch, Garden, Yard, Market, Bistro - Last for 20+Hrs",$19.98,"$16,320",491,5843,4.4,FBA,2,No
B0C68DRR9P,"addlon 52(48+4) FT Solar String Lights Waterproof,Patio Lights Solar Powered with Remote & USB Port 16+1 LED Shatterproof Bulbs 3 Light Modes, Dimmable Solar Light for Camping Backyard Garden",$21.99,"$17,789",102,11222,4.2,FBA,3,No
B0CNTDGP5N,"addlon 100FT LED Outdoor String Lights with Remote Waterproof Patio Lights with Shatterproof ST38 Replaceable Bulbs, Dimmable Outside Hanging Light Connectable for Porch, Backyard",$27.99,"$14,844",165,3029,4.6,FBA,4,No
B0C68WNH8W,"addlon 100FT Solar String Lights Outdoor with Remote, 54 LED Shatterproof Bulbs, USB Charging, 20+ Hour Runtime, Dimmable & Timable, G40 Waterproof Solar Lights for Outside Backyard Patio Garden Decor",$35.99,"$6,270",660,1660,4.3,FBA,5,No
B0G52BFMRT,"Mlambert 25FT Solar Powered String Lights Outdoor, Waterproof Solar Patio Light String with 10+1 Shatterproof LED G40 Bulbs for Backyard Garden-Black",$13.99,$269,11267,13,4.8,FBA,6,No
B0DW8LG5X5,"Brightown 108FT 52LED Solar String Lights Outdoor with Remote & USB Port, Shatterproof Bulbs, Dimmable & Timable, 3 Modes, Patio Lights Solar Powered with Mount Clips for Camping Backyard Garden Decor",$37.99,"$7,601",687,2554,4.4,FBA,7,No
B0FWQSFZJ4,"50FT Solar String Lights Outdoor Waterproof IP65 with USB-Charging , Solar Powered LED Patio Lights with 25+2 Shatterproof ST38 Edison Bulbs, Hanging Lights for Outside Backyard Garden Bistro Gazebo",$49.99,$453,25856,347,4.7,FBA,8,No
B0FWQTGPS1,"100FT Solar String Lights Outdoor Waterproof IP65 with USB-Charging , Solar Powered LED Patio Lights with 50+2 Shatterproof ST38 Edison Bulbs, Hanging Lights for Outside Backyard Garden Bistro Gazebo",$69.99,,31506,347,4.7,FBA,9,No
B0CRKHJ4QJ,"Zuske Solar String Lights Outdoor Waterproof 50FT with USB Port and 27 Shatterproof G40 Bulbs(2 Spare), LED Solar Powered Patio Lights for Outside, Porch, Backyard, Bistro, Garden, Market - 2200K",$52.89,,,881,4.6,FBA,10,No
