ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GV1N139D,"Travel Neck Wallet with RFID Blocking – Anti Theft Hidden Passport Holder for Men & Women, Slim Under Clothes Pouch with Zipper for Passport, Cards, Cash & Phone (Black)",$17.99,$35,459805,0,4,FBA,1,No
B07RV1L1F1,"HERO Neck Wallet - RFID Blocking Passport Holder, Easy to Conceal Travel Pouch (Army Grey)",$24.95,"$12,465",1895,11589,4.7,FBA,2,No
B01HMVY1YA,"Zero Grid RFID Passport Holder & Travel Wallet, Zippered Wallet for Men & Women, Fits Passport, Cards, Cash, Tickets, ID, Sim Card; Premium & Compact Travel Document Holder - Midnight Black",$24.99,"$1,489",44922,8661,4.6,FBA,3,No
B0B8X9KSHD,"TOURSUIT RFID Blocking Passport Holder for Women Men, Leather Passport Travel Wallet with 3D Metal Badge, Travel Document Holder Cover Accessories (Dark Blue)",$13.99,"$5,605",7055,3028,4.8,FBA,4,No
B0C6TSCBDT,"TOPBAG Passport Holder Family, Women Rfid Blocking Passport Wallet, Travel Document Organizer for Premium Wallets, Waterproof Passport Holders Bag for Women & Men Traveling, Credit Cards Case",$9.99,"$6,573",4634,2357,4.8,FBA,5,No
B0C3LR5B5G,"Fintie Family Passport Holder Wallet, RFID Blocking Travel Document Organizer Clutch Bag Credit Cards Case Cover for Women Men",$19.99,"$1,529",30652,2443,4.6,FBA,6,No
B075ZN83D6,"FINTIE Passport Holder, Slim Travel Wallet RFID Blocking Card Case Cover Passport Cover Protector Essentials with Credit Card Slots for Women/Men | Slim",$9.99,"$2,182",19522,9010,4.6,FBA,7,No
B07LG3TYJS,Passport Holder Cover Wallet RFID Blocking Leather Card Case Travel Accessories for Women Men (Pink),$8.49,"$9,077",2427,14532,4.8,FBA,8,No
B0BWQ1133S,"tomtoc Passport Holder Family with RFID Blocking, Passport Wallet Women Men, with Airtag & Sim Card Holder and Eject Pin, Travel Document Organizer with Wrist Strap, Up to 4 Passports, Water-resistant",$35.99,$912,61949,851,4.6,FBA,9,No
B078XYCTFC,Travelon World Travel Essentials Set of 2 Currency and Passport Organizers,$22.95,"$2,106",28709,1580,4.7,FBA,10,No
