ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FL6ZVNCM,"Slim Passport Holder for Travel – RFID Blocking Leather Passport Wallet for Women & Men with Card Slots, Zippered Coin Pocket, SIM Card Slot Cover Case – Gift Ready(Black)",$24.35,$702,52951,92,4.7,FBA,1,No
B0F6B5R47Q,"ALLIVE Passport Holder for Travel, Genuine Leather Passport Holder with AirTag Hidden Pocket, Rfid Blocking Passport Cover Travel Wallet for Women Men, Airport Essentials Gift (Black)",$27.99,"$2,320",18214,262,4.6,FBA,2,No
B01C2R3TZG,"Alpha Keeper Money Belt for Travel Hidden Under Clothes – RFID Blocking Passport Holder & Slim Waist Wallet Pouch for Women & Men, Anti-Theft Travel Accessories",$21.21,"$4,685",6683,12411,4.6,FBA,3,No
B0D256QSXN,"RFID Blocking Sleeves for Credit Cards & Passport (4 Short Side Card & 2 Passport Sleeves) RFID Card Holder and Protector Sleeve for Credit, Passport Identity Theft Protection Travel Wallet Slim",$6.99,"$2,397",17151,2329,4.6,FBA,4,No
B0GJSWYJ6Q,VULKIT Dual Leather Passport Wallet with Airtag Holder Slim Double Passport Holder RFID Blocking Passport Travel Wallet for Women or Men,$26.99,$406,97048,129,4.6,FBA,5,No
B0B23NY2HV,2 Pack Passport Cover With Card Slots RFID Blocking-White&Black,$8.99,"$2,957",11819,3013,4.7,FBA,6,No
B075ZN83D6,"FINTIE Passport Holder, Slim Travel Wallet RFID Blocking Card Case Cover Passport Cover Protector Essentials with Credit Card Slots for Women/Men | Slim, RFID Blocking, Card Case Cover, Essentials, Credit Card Slots",$9.99,"$1,974",15744,9007,4.6,FBA,7,No
B072P6GY99,Alban RFID Passport Holder Women Men RFID Blocking Travel Passport Wallet Case Genuine Leather Passport Cover porta pasaporte,$16.95,$183,150078,247,4.5,FBA,8,No
B0DPYPC3QZ,"Forvencer Passport Holder Cover with Safe Zipper Closure, Premium Passport Wallet for Travel, Cute RFID Blocking Card Case, Waterproof Travel Accessories for Women, Black",$6.99,"$3,347",7210,845,4.5,FBA,9,No
B0GJ8LTKZN,"VULKIT Slim Minimalist Passport Wallet RFID Blocking Passport Holder for Travel, Leather Travel Wallet for Men Women, Magnetic Closure",$19.99,$471,72781,57,4.6,FBA,10,No
