ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08F5G5K4C,Clever Fox Password Book with alphabetical tabs. Internet Address Organizer Logbook. Large Password Keeper for Website Logins (Yellow),$21.99,"$6,159",,41407,4.7,FBA,1,No
B09W9MV2LT,"Clever Fox Password Book Spiral – Internet Address & Password Organizer with Laminated Alphabetical Tabs – Password Keeper Journal – Hardcover, Medium Size, 6.1x7.7” (Mystic Blue)",$16.99,"$1,471",,2827,4.8,FBA,2,No
B0C7GFGG4T,"JUBTIC Password Book with Individual Alphabetical Tabs, 7""x10"" Internet Password Keeper Book for Seniors, Password Notebook and Organizer/Notes Section,Purple",$13.53,$946,,8636,4.7,FBA,3,No
B0DCHS3WCF,"Comkiso Password Book with Individual Alphabetical Tabs Laminated, Large Print Password Keeper Book for Seniors, A5 Hardcover Internet Password Log Book to Record Website Login Details - Bloom",$13.49,$620,,341,4.9,FBA,4,No
B0BD93G89R,"Password Book with Alphabetical Tabs, Hardcover Password Keeper, Password Notebook Organizer for Computer and Internet Address Website Login, Gifts for Home and Office, 5.3''x 7.7''- Purple",$9.99,"$3,609",,6214,4.7,FBA,5,No
B0D631HPQY,"ZXHQ Password Book with Colorful Alphabetical Tabs, 8.4"" x 5.8"" Hardcover Password Keeper & Internet & Login Organizer for Seniors, Home & Office, Sea Green",$13.99,"$2,405",,1121,4.8,FBA,6,No
B0BCG1FCZ3,"Address Book with Alphabetical Tabs, Hardcover Password Book, Address Organizer Keep Track of Phone Numbers, Special Days, Birthdays, Anniversaries and Notes (5.3'' x 7.7"", Purple)",$7.99,"$2,731",,3765,4.7,FBA,7,No
B0BQ6KXMWY,"Forvencer Password Book with Individual Alphabetical Tabs, 4""x5.5"" Small Password Notebook, Spiral Password Keeper, Internet Address and Password Organizer, Password Logbook for Home Office, Sky Blue",$4.99,"$4,051",,2526,4.7,FBA,8,No
B09H7C9G81,"Elegant Password Book with Alphabetical Tabs - Hardcover Password Book for Internet Website Address Login - 5.2"" x 7.6"" Password Keeper and Organizer w/Notes Section & Back Pocket (Turquoise)",$6.99,"$3,729",,19100,4.7,FBA,9,No
B07X2647FK,Clever Fox Password Book with alphabetical tabs. Internet Address Organizer Logbook. Small Pocket Password Keeper for Website Logins (Black),$13.99,"$6,159",,41405,4.7,FBA,10,No
