ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FT37QK1V,"Leaf Blower Cordless, Handheld Leaf Blower with 2 X 4.0Ah Battery and Charger, Snow Blower with 6 Speed Modes, Lightweight Blowers for Lawn Care, Patio, Yard, Blowing Snow, Leaves, Dust",$58.98,"$8,231",653,874,4.4,FBA,1,No
B0FMK5TSC5,"Leaf Blower Cordless,Battery Powered 800,000 RPM Electric Leaf Blower with 2 x 4.0Ah Battery and Charger Handheld Blowers for Lawn Care,Dust,Snow,Car Blowing Water with 2 Extended Nozzle",$59.99,"$3,162",3190,517,4.2,FBA,2,No
B01HIGWCQI,"BLACK+DECKER Electric Leaf Blower, Handheld Blowers for Lawn Care, Lightweight, 180 MPH 180 CFM, 7-Amp, Corded (LB700)",$31.90,"$8,025",696,30082,4.6,FBA,3,No
B0G255ZMN1,"YUQUESEN Cordless Leaf Blower, 980,000 RPM Handheld Leaf Blower with 2 X 4.0Ah Batteries & Charger, Lightweight Leaf Blowers for Patio Cleaning, Lawn Care, Leaves, Dust - Light Green",$59.99,"$19,942",267,2198,4.4,FBA,4,No
B0GXHXM2MR,"OGERY Brushless Leaf Blower Cordless with Lights, Powerful Electric Leaf Blowers with 2 x 3.0Ah Batteries & Fast Charging, 700CFM 900G Wind Pressure Handheld Blower for Lawn Care Yard Garden, Yellow",$49.99,$168,35240,26,4.9,FBA,5,No
B0GRH24XLH,"Leaf Blower Cordless with Battery and Charger, 980,000 RPM, Extended Nozzle, Lightweight Handheld Design,Blower for Patio Cleaning,car Blowing Water, Blowing Leaves and Dust",$59.99,$34,39978,0,5,FBA,6,No
B0DS8C67NW,"Leaf Blower Cordless - 21V Powerful Electric Leaf Blower with 2 Batteries and Charger, 2 Speed Modes, 2.0Ah Lightweight Battery Powered Leaf Blowers for Lawn Care, Patio, Dust, Blowing Leaves",$59.97,$720,870,3245,4.3,FBA,7,No
B0CRRF62MY,"Leaf Blower Cordless with 2 Battery and Charger, 130MPH 180CFM High Speed Leaf Blower with 2 Tubes, 20V Electric Leaf Cleaner, Lightweight Handheld Blowers for Lawn Care, Patio, Garden, House, Depot",$45.99,"$1,123",13032,1518,4.4,FBA,8,No
B0GD6GKDCZ,"Leaf Blower Cordless for Dewalt 20V Battery, 1300000RPM Lightweight Mini Leaf Blower Handheld Electric Leaf Blower, 2-in-1 Portable Blower &Vacuum for Lawn Dust/Snow Blowing (Not Battery",$79.99,$60,168953,6,3.8,FBA,9,No
B0DXVH683V,Saker Cordless Leaf Blower Portable Dust Cleaner Handheld Blowers 2 x 4.0Ah Batteries 180000 RPM Air Duster with Adjustable Speed for Drying Patio Cleaning Green,$59.96,"$1,530",10327,720,4.1,FBA,10,No
