ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GRZKX61J,"Kuoser Dog Anxiety Vest for Dogs, Calming Dog Jacket for Anxiety Relief, Adjustable Anxiety Wrap Shirt for Small Medium Large Dogs, Soothing Pet Vest for Fireworks Thunderstorms Vet Visits Travel, S",$22.99,$32,22418,4,5,FBA,1,No
B0GM741GPN,DAJIDALI® Dog & Cat Anxiety Vest & Spay Recovery Suit – Silent Adjustable Calming Wrap for Surgery & Thunderstorms – 2-Piece Cone & Recovery Onesie Alternative,$28.99,$592,15571,43,4.2,FBA,2,No
B0GS5L54XT,"Dog Anxiety Vest with Hood,Adjustable Thunder Jacket for Dogs,Comfort Anxiety Calming Vest for Fireworks,Thunderstorms,Separation & Vet,Pet Calming Shirt for Large Medium Small Dogs,Navy,XS",$19.99,$11,158915,0,3.7,FBA,3,No
B0GRSSJ3YR,"AOFITEE Dog Anxiety Vest, Thunder Jacket for Dogs Anxiety Soft Breathable Pet Calming Shirt for Fireworks, Thunder, Separation, Anti-Anxiety Pets Calming Vest with Hook & Loop Closure, Grey S",$22.99,,,0,,FBA,4,No
B0029Q1WMS,"ThunderShirt for Dogs, X Small, Heather Gray Classic - Dog Anxiety Relief Calming Vest",$39.99,"$5,937",1500,55616,4.2,FBA,5,No
B0029PY7SK,"ThunderShirt for Dogs, Small, Heather Gray Classic - Dog Anxiety Relief Calming Vest",,"$5,937",1503,55614,4.2,FBA,6,No
B01FN4GU5Q,"ThunderShirt for Dogs, X Small, Fuchsia Sport - Dog Anxiety Relief Calming Vest",,"$4,746",,21109,4.3,FBA,7,No
B00B0I5Z42,"Happy Hoodie The Original Dog & Cat Calming Band - American Brand - Anxiety Relief/Noise Protection - Grooming - Thunder - Fireworks (Large, Black) - Since 2008",$12.99,"$14,679",635,17584,4.2,FBA,8,No
B0FSZRQKVW,"3Pack Dog Calming Hoodie for Small to Large Dogs High Elastic Pet Anxiety Relief Ear Wrap Cat Calming Collar Noise Reduce Protection for Fireworks,Thunder,Force Drying (Small+Medium+Large) (Blue)",$9.99,$297,20880,44,4.4,FBA,9,No
B0DM5S8CQH,"Dog Anxiety Vest, Skin-Friendly Thunder Jacket for Dogs, Dog Calming Shirt for Thunder, Fireworks, Vet Visits and Separation - Keep Pet Calm Without Medicine & Training, Anti Anxiety for Dogs",$22.99,$970,10865,666,3.9,FBA,10,No
