ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DZF21KRY,Tractive Smart Dog GPS Tracker with 6 Month Subscription | Live Pet Tracker with Virtual Fence | Vital Signs Monitoring of Heart & Respiratory Rate | Bark Monitoring | Dog Collar Attachment (Black),$99.00,"$4,515",3031,4340,4,FBA,1,No
B0GT96PG5B,"Wireless Dog Fence System, 4G LTE GPS Dog Collar for Medium Small Dogs, All-in-One Pet Tracker with Virtual Fence, Activity & Wellness Monitoring, Heart Rate & Breath Count, Waterproof, Black",$599.99,,,0,,FBA,2,No
B0GT98HP2K,"Wireless Dog Fence System, 4G LTE GPS Dog Collar for Medium Small Dogs, All-in-One Pet Tracker with Virtual Fence, Activity & Wellness Monitoring, Heart Rate & Breath Count, Waterproof, White",$599.99,,133422,0,,FBA,3,No
B0GWZQDB3Z,"GPS Cat Tracker Collar(iOS & Android), Bluetooth Mini GPS Dog Tracker, Smart Pet Activity Tracker, No Monthly Fee, Work with Apple Find My & Google Find Hub, Finder Tag for Pets,Items 1P (Green)",$34.99,$226,,0,5,FBA,4,No
B0GLG2X5F9,"2-in-1 GPS Tracker Dog Light | Smart Tracking Pet LED Light for iOS Only | IP68 Waterproof | 6 Modes Dog Collar Light for Night Walking, Camping | Works with Apple Find My, No Subscription",$29.99,$7,74522,1,,FBA,5,No
B0GYD3QXWL,"GPS Tracker for Dogs, Smart Collar with Real-Time Location, Pet Location Tracker with Holder, No Monthly Fee & No SIM Card, Works with iOS Find My, Ultra-Slim IP68 Waterproof Dog Tracker",$21.99,,,0,4.6,FBA,6,No
B08S48DX7K,"Cube GPS Tracker Collar / Strap Attachment Clips - For Tracking Dogs, Cats, Pets, People, Backpacks, & More - Strong Fitted Durable Retainer Clips to Monitor Activity at a Distance (3 Sizes Per Pack)",$24.95,$11,144090,85,4,FBA,7,No
B0GGC6W1MR,"GPS Collar for Dogs,Pet Tracker (Android Only) Smart tag,Waterproof Compatible with Google Find My,No Monthly Fee,Advanced Tracking Solution Smart Collar for Pet Safety Ideal Small Large Dogs",$16.99,,21935,0,5,FBA,8,No
B0GYC3QX3Y,"GPS Collar for Cats (Android Only) Smart tag,Pet Tracker,Waterproof Compatible with Google Find My,No Monthly Fee,Advanced Tracking Solution Smart Collar for Pet Safety Ideal Small Large Cats",$29.99,$25,10022,2,5,FBA,9,No
B0DZPD3R6Z,"[2 Pack] Dog Collar Holder for Tile Pro 2024 Tracker, Waterproof Silicone case for Tile Life360 pro, Durable Flexible Scratch Resistant Cover Finder for pet cat Necklace Accessories(Black/Black)",$7.99,$104,512,23,4.3,FBA,10,No
