ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DDKQ9NLF,2PCS Pilates Double Loop Straps for Reformer Feet - Fitness and Yoga Equipment - D-Ring Exercise Straps for Gym and Home Workouts,$12.99,$10,354072,32,4.5,FBA,1,No
B0FX49W4H7,"LOOEEL Pilates Equipment Hook and Tie Straps,Equipoise Body Cotton Straps,Suitable for Pilates Core Bed Accessories,Balance Training -Thickened Material 27.6 in.",$16.99,$81,78628,11,4.6,FBA,2,No
B0GCB52FCV,"Padded Footstrap for Allegro Nextgen for Allegro Stretch Reformers, Adjustable Foot Strap for Balanced Body Pilates Reformer",$35.99,,,0,4,FBA,3,No
B0GKNL5XKS,"Pilates Equipment Hook and Tie Straps,Pilates Foot Strap Leg Strap for Reformer,Equipoise Body Cotton Straps,Comfortable Pilates Equipment Accessory",$12.99,$8,377670,0,,FBA,4,No
B09P7ZPV1Y,"TOBWOLF Pilates Straps - Double Loop D-Ring Straps for Reformer, Padded, Home Gym Workout",$13.19,$679,21284,453,4.6,FBA,5,No
B0FTKRK3CH,"Colaxi Pilates Straps for Reformer, Foot Strap Leg Strap, Fitness and Yoga Equipment, Easy Installation Exercise Straps",$15.89,$15,242421,0,,FBA,6,No
B0G3R2CCF7,"Balanced Body Metro IQ Reformer Foot Strap, Extra Long Cotton or Padded Footstrap, Pilates Equipment Accessory, 30.5 inches",$17.00,$7,343216,,,FBA,7,No
B008Z3UZVS,"Balanced Body Adjustable Padded Footstrap for Allegro 2 Reformer, Pilates Reformer Accessory, Gym Equipment for Home Gym or Pilates Studio Use",$51.00,$11,223960,8,4.5,FBA,8,No
B0GFWQ6YWF,"Padded Double Loop Kit for Balanced Body Pilates Reformer, Straps with D Rings for Studio, for Clinical, for Allegro 1 Pilates Reformers Equipment",$35.99,$5,233198,0,,FBA,9,No
B09TW31XW9,"Durable Pilates Double Loop D-Ring Straps - Padded Handles for Reformer, Yoga & Home Gym Workouts",$14.98,$699,14349,345,4.8,FBA,10,No
