ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09Z63YCP5,"LIONSCOOL Pilates Ring Set – 14"" Anti-Deformation Magic Circle with Padded Handles, Mini Ball, Resistance Bands, Guide & Bag",$15.99,"$2,067",852,801,4.7,FBA,1,No
B0GS8VN7WM,Syhood Pilates Ring 11. 81 Inch Pilates Circle Yoga Ring Magic Lightweight Flexible Workout Equipment for Fitness Physical Therapy Resistance Exercise Arms Legs,$47.99,$262,49768,43,3.9,FBA,2,No
B0FYPW9SF9,"Pilates Ring Set for Women, Pilates Equipment with 5 Resistance Bands & Accessories, Pilates Ball, 14'' Magic Circle Hoop, Pilates Starter Kit for Beginners at Home",$23.99,$21,367551,12,4.2,FBA,3,No
B07BJH8TLN,"URBNFit Pilates Ring - 12"" Magic Circle w/Dual Grip, Foam Pads for Inner Thigh Workout, Toning, Fitness & Pelvic Floor Exercise - Yoga Rings w/Bonus Exercise Guide",$13.99,$971,14625,4186,4.4,FBA,4,No
B07GPL2PDT,"URBNFit Pilates Ring - 12"" Magic Circle w/Dual Grip, Foam Pads for Inner Thigh Workout, Toning, Fitness & Pelvic Floor Exercise - Yoga Rings w/Bonus Exercise Guide",$16.99,$971,14625,4189,4.4,FBA,5,No
B078KFF7ND,"ProBody Pilates Fitness Circle – 14 Inch Pilates Ring for Focusing on Toning Inner Thighs, Arms, and Core",$21.95,"$6,062",916,9580,4.5,FBA,6,No
B07BJGK81P,"URBNFit Pilates Ring - 12"" Magic Circle w/Dual Grip, Foam Pads for Inner Thigh Workout, Toning, Fitness & Pelvic Floor Exercise - Yoga Rings w/Bonus Exercise Guide",$15.99,$971,15015,4186,4.4,FBA,7,No
B086HNGNFZ,"Gaiam Pilates Ring Fitness Circle - Lightweight & Durable Foam Padded Handles, Flexible Resistance Exercise Equipment for Toning Arms, Thighs/Legs & Core",$12.03,"$3,509",1955,3298,4.5,FBA,8,No
B0GG7M141M,"JKSHMYT Pilates Ring Fitness Circle for Women, Pilates Equipment – 14.5"" Home Magic Exercise Workout, Better me Pilates Essentials Starter Set for Beginners Toning Shape Full Body",$9.89,"$1,111",5294,42,4.4,FBA,9,No
B002YQW3IU,"Balanced Body Ultra-Fit Circle Pilates Ring, Body Ring, Great Exercisers for Legs, Fitness Circle, Thigh Exercise, Pilates Circle, Pilate Ring Fitness Equipment for Home or Studio",$35.00,"$1,037",7992,917,4.7,FBA,10,No
