ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D986WG88,"JETech Magnetic Case for Google Pixel 9/9 Pro 2024, Compatible with MagSafe, Translucent Matte Back Shockproof Phone Cover (Black)",$11.99,"$2,962",1489,9000,4.5,FBA,1,No
B0DBWMYSZF,"Ringke Onyx [Compatible with MagSafe] Designed for Google Pixel 9 Pro Case, Anti-Fingerprint Technology Prevents Oily Smudges Non-Slip Enhanced Grip Precise Cutouts for Camera - Magnetic Dark Green",$25.99,"$1,344",3829,1695,4.4,FBA,2,No
B0GH6ZMF6N,"LeYi for Google Pixel-9-Pro Case: Pixel 9Pro Phone Cover with Screen Protector & Camera Bump Protection, [Mag-Safe Fit] Matte Slim Translucent Sleek & Shockproof Funda para Pixel9 Pro Unlocked, Black",$10.99,"$21,235",182,12466,4.6,FBA,3,No
B0DZ5MWLVP,"Magnetic for Google Pixel 9/9Pro Case Women, [Compatible with MagSafe], [Holographic Iridescent Color Changing Effect] Fashion Slim Cute and Unique Matt Protective Phone Cover for Pixel 9/9 Pro",$16.99,"$1,080",4958,255,4.4,FBA,4,No
B0D981PPWN,"JETech Magnetic Case for Google Pixel 9 Pro XL 2024, Compatible with MagSafe, Translucent Matte Back Shockproof Phone Cover (Black)",$14.99,"$2,962",1515,9000,4.5,FBA,5,No
B0DRHWMH6W,"for Google Pixel 9/Pixel 9 Pro Case with Magnetic Invisible Stand [Military Drop Protection] [Compatible with MagSafe] Shockproof Slim Translucent Matte Anti-Slip, Black",$16.99,$277,16890,178,4.3,FBA,6,No
B0D8J8HYXQ,"TORRAS Upgraded Magnetic Shockproof for Google Pixel 9 Pro Case & Pixel 9 Case, [Fit for MagSafe][16FT Mil-Grade Drop Protection] Translucent Slim Protective Phone Case for Pixel 9 Pro, Black",$24.99,$174,21494,724,4.5,FBA,7,No
B0FWJXPWX8,Hensinple Magnetic for Pixel 9/ Pixel 9 Pro Case [Compatible with MagSafe] Translucent Matte Shockproof Slim Fit Military Grade Drop Proof Protection Cover Phone Case for Pixel 9/Pixel 9 Pro(Green),$13.99,,,0,4.4,FBA,8,No
B0DG912FFR,"600D Aramid Fiber Case for Google Pixel 9 Pro Fold, Slim, Ultra Thin, Lightweight, Version 2.0 Upgraded The Magnetic Compatible with Magsafe - Black",$32.99,$41,70239,8,3.5,FBA,9,No
B0DD6KLYXX,X-level Magnetic Case for Google Pixel 9/Pixel 9 Pro PU Leather Thin Slim Case Soft Bumper Anti-Fingerprint Shockproof Protective Phone Cover Compatible with Magsafe (Brown),$15.99,$80,35553,30,3.6,FBA,10,No
