ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08NY1QTR9,o2totes Fanny Pack Fit For Inogen One G5 (I0-500) Inogen Rove 6 (IS-401) & OxyGo Next (1400-3000) Only,$54.99,$81,378584,332,4.3,FBA,1,No
B083KQYH6Z,"O2TOTES Ultra Lightweight Backpack Fit For Inogen One G3 & OxyGo (Patented Design) (black) Lightweight at under 14 ounces, Backpack Only, Zippered bottom, fits standard and double battery; black",,$70,151393,540,4.6,FBA,2,No
B081BBZZ3P,O2TOTES WEAR YOUR OXYGEN WITH STYLE Carry Bag/Shoulder bag/crossbody bag fit for Rhythm Healthcare P2/Lightweight carry bag fit for Rhythm Healthcare p2 (Black),$54.99,$40,344905,34,3.9,FBA,3,No
B0DJNZ8T6W,"Ultralight and Rugged 360 Ventilated Backpack for Inogen One G5/Rove 6/OxyGo Next Portable Oxygen Concentrator - 1680D Fabric, Reflective Safety Straps, Trolley Sleeve",$54.90,$22,346149,77,4,FBA,4,No
B0DMDXBPLR,"NIHAO Dual Oxygen Tank Holder for Wheelchiars, Oxygen Cylinder Bag with Adjustable Zippers and Mesh Storage Pockets, Portable Wheelchair Attachment for Oxygen Fits Most Oxygen Cylinders, Black",$27.98,$68,124638,47,4.7,FBA,5,No
B0C9X9WL2N,"o2totes USA Backpack for Rhythm Healthcare P2 POC - Lightweight, Comfortable, and Durable Carrier Bag for Portable Oxygen Unit",$54.99,$192,118111,439,4.4,FBA,6,No
B082QVWHHX,"O2TOTES Premium Backpack – Fits Inogen One G5 & Inogen Rove 6, Lightweight with Padded Straps & Zippered Bottom",$52.99,$824,37777,1465,4.6,FBA,7,No
B08SJJCRMS,"CURMIO Portable Oxygen Concentrator Backpack, POC Carrying Bag Compatible for Inogen, OxyGo and Caire Units, Bag Only",$39.99,$89,173904,380,4.4,FBA,8,No
B09BZ78BT2,"CURMIO Portable Oxygen Concentrator Backpack Compatible with Inogen One, Oxygo, Caire Units, SimplyGo Mini, POC Travel Bag",$38.99,$86,150547,307,4.1,FBA,9,No
B0BLF5ZS2T,"O2TOTES Premium Backpack – Fits Inogen One G5 & Inogen Rove 6, Lightweight with Padded Straps & Zippered Bottom",$54.99,$824,36095,1464,4.6,FBA,10,No
