ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FVSGKDY9,"Pour Over Coffee Maker Set, 22OZ Ceramic Pour Over Coffee Dripper with Acacia Wood Stand and 5OZ Cups and Saucers Set of 2, Size 02",$55.99,$11,818952,22,4.2,FBA,1,No
B0F4JH3CC8,"Pour Over Coffee Maker Set, Pour Over Kettle, Coffee Dripper, Glass Coffee Server with Scale, Stainless Steel Filter (Grey)",$42.99,$19,1493184,7,4.6,FBA,2,No
B0DT9KRSMK,"SuperCook Pour Over Coffee Dripper Set, Hand Drip Coffee Maker Set, All in One Pour Over Kit with Electric Grinder, Coffee Dripper Set, Ideal for Anniversary Birthday Gift",$59.50,$187,234233,21,4,FBA,3,No
B0DPKQC11P,"Pour Over Coffee Maker,Ceramic Coffee Maker With 40 pcs Paper Filter，15oz/450ml Pour Over Coffee Dripper (Starry Blue, V02)",$29.99,$332,103509,165,4.7,FBA,4,No
B07KQVW6RR,"Bodum 34oz Pour Over Coffee Maker, High-Heat Borosilicate Glass with Reusable Stainless Steel Filter and Cork Grip - Made in Portugal",$19.99,"$10,262",2152,11416,4.5,FBA,5,No
B0821DTMGT,"Cosori Pour Over Coffee Maker with Double Layer Stainless Steel Filter, 8-Cup, 34oz, Drip Coffee Maker, Coffee Dripper Brewer, High Heat Resistant Carafe, also for Camping, Hiking",$29.49,"$1,523",22658,6663,4.7,FBA,6,No
B0CQ7BJ1MG,"SuperCook Pour Over Coffee Kit, Coffee Maker Set, All in One Hand Drip Coffee Set, Coffee Grinder Manual Set, Ideal for Anniversary Birthday Gift",$55.00,$187,234233,63,4.3,FBA,7,No
B01LQ2PZDW,"Bodum 17oz Pour Over Coffee Maker, High-Heat Borosilicate Glass with Reusable Stainless Steel Filter and Cork Grip - Made in Portugal",$17.99,"$10,262",2152,11411,4.5,FBA,8,No
B07W5WRPNZ,"Pour Over Coffee Maker Set | Kit Includes 40 OZ Gooseneck Kettle with Thermometer, Coffee Mill Grinder & 20 OZ Coffee Dripper Brewer | Great Replacement for Coffee Machines",$72.80,$86,273052,1000,4.6,FBA,9,No
B09FXKLCZM,"Unbreakable - Pour Over Coffee Maker with Double Stainless Filter 27 fl oz, Thickened Heat-Resistant Borosilicate Glass Pour Over Coffee Dripper, Stovetop Safe",$23.79,$953,35922,1740,4.2,FBA,10,No
