ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GSQQ5WCJ,The Quiet Prayer Journal: 90 Days of Gentle Guided Prayer,$9.99,$5,,0,,FBA,1,No
B0GZ3VKQP8,"Prayer Journal For Women: A Daily Guide to Prayer, Reflection, and Gratitude",$10.99,,,0,,FBA,2,No
1941325823,"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",$10.35,"$2,054",,48395,4.8,FBA,3,No
B0B7R551SC,"Regolden-Book Prayer Journal for Women, Daily Bible Journal, Devotional Journal, Verse Inspirational Writing Spiral Notebook for Christian Gifts, Lasts 6 Months (8.5x5.5”), Teal",$9.99,$287,,846,4.6,FBA,4,No
B0FYGZW796,"Official Spiral Bible® The Bible in a Year | 52 Week Guided Bible Study & Daily Reading Plan | Spiritual Companion & Journal for Adults & Teens | 8.5"" x 11"" Notebook",$40.00,"$13,618",,695,4.6,FBA,5,No
1683225570,The Prayer Map(r) for Women: A Creative Journal,$7.45,$282,,2912,4.7,FBA,6,No
B0F4ZJ8VX8,"Hadley Designs Guided Prayer Journal for Woman - Daily Prayer Journal Notebook, Praying Journals for Women, Devotional Notebook, Christian Journals for Women, Christian Mothers Day Gift Ideas",$14.99,$198,,63,4.8,FBA,7,No
B0GCK1ZTPQ,"Prayer Journal for Women and Men – Christian Devotional Journal & Bible Study Notebook, Prayer Requests, Gratitude, Scripture Writing + Bible Verses, Digital Resources, Lay Flat Hardcover",$29.99,$56,,6,4.5,FBA,8,No
B0CN6YNRRT,Clever Fox Bible Study Journal – Church Notes Notebook – Note Taking & Journaling Kit – Faith Based Religious Gifts & Accessories (Mystic Blue),$19.99,"$1,501",,1176,4.9,FBA,9,No
1639529055,Praying the Promises of God: A 52-Week Guided Prayer Journal,$17.99,$363,,91,4.8,FBA,10,No
