ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08SR294KM,"4ALLFAMILY Nomad Insulin Travel Case Cooler – 48H Non-Electric Insulin Cooler Travel Case TSA Approved with Lightweight Design – Air Traveling Friendly, Reusable Medium Blue Thermo for Medications",$39.99,"$5,885",7101,3196,4.6,FBA,1,No
B08J6WQZ2P,4ALLFAMILY Voyager Insulin Cooler with Auto Shut-Off – Insulin Cooler Travel Case TSA Approved for 30H – Blue USB Powered Medication Travel Case with Ice Pack for Temperature-Sensitive Meds,$199.99,"$1,106",22643,880,4.4,FBA,2,No
B0DZGZQB4M,"Portable Insulin Cooler Box Smart Rechargeable Mini Medical Case for Insulin, Vaccines, and Medications, 36.6 cu in Capacity, LCD Display,Travel Drug Cooler for Insulin, FAA-Approved",$101.99,$206,78077,33,3.6,FBA,3,No
B0002262GM,FRIO Cooling Wallet - Insulin Cooler for 45+ Hours of Stress Free On The Go - Blue - Small,$31.95,"$4,829",7821,6694,4.3,FBA,4,No
B094XHJFPM,4ALLFAMILY Explorer Insulin Cooler Travel Case 3-In-1 – Insulin Travel Case TSA Approved with 72h Cooling – Magenta USB Powered Medicine Cooler + Ice Pack for Temperature-Sensitive Meds,$139.99,"$1,394",22872,1234,4.5,FBA,5,No
B0CRDXPBFF,"AUVON Insulin Cooler Travel Case with 2 x 90g TSA Approved Ice Packs, Diabetic Medication Insulated Cooling Bag for Insulin Pens and Diabetic Supplies Storage, Compact for Daily Life and Trips",$8.99,"$20,177",1414,3353,4.6,FBA,6,No
B0BM42YFQ5,"Cruxer Insulin Vial Cooler Travel Case for Diabetes,Portable Refrigerated Medicine Organizer with Ice Brick, Small Bottle Protector Bag for Keeping Medication Cool During Travel",$15.28,"$4,650",9011,877,4.7,FBA,7,No
B0D2W35PP8,"suzamed Insulin Cooler Travel Case,EVA Insulation Travel Medicine Kit with 2 Ice Packs for Diabetes Care,Insulin Pen and Other Diabetic Supplies (Purple)",$8.99,"$21,310",1694,2320,4.6,FBA,8,No
B0BR7RGD2T,"Trunab First Aid Bag Empty Small Medicine Storage Case, Insulated Medication Cooler Bag, Travel Pill Bottle Organizer for Prescription, Insulin, Supplements or Medical Supplies, Black(Bag Only)",$19.99,$132,115689,315,4.6,FBA,9,No
B0BW96BB54,"AUVON Insulin Cooler Travel Case with 4 × 160g Ice Packs for Longer Cooling Effect, TSA-Approved Medication Cooler Bag for 8 Insulin Pens & Diabetic Supplies, Portable Handle for Diabetic Travelers",$26.99,"$2,129",14472,719,4.8,FBA,10,No
