ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D22F6N39,"UNA GELLA Coffin Nails Tips 504pcs 12 Sizes, Soft Gel Nail Tips Acrylic Full Cover Pre-buffed Medium Coffin Press On Fake Nails For False Nails Extension Home DIY Salon Gifts for Women and Girls",$8.99,"$79,658",107,16661,4.5,FBA,1,No
B0F4KVQYNQ,144Pcs Press on Nails Medium Coffin Fake Nails French Tip False Nails with Design Shiny Glitter Stick on Nails Full Cover Glossy Acrylic Nail for Women Manicure 6 Packs,$9.99,"$2,967",12757,329,3.6,FBA,2,No
B0BDLS59P3,"Teenitor Full Cover Color Press On Coffin Nails, 576pcs Fake Nail Tips in 24 Colors, Glue On Long Ballerina False Nails",$11.99,$827,26319,3164,4.4,FBA,3,No
B0DZX5TTZJ,"Beetles Press on Nails Kit 720Pcs 24 Colors, Short Almond Press on Nails Glossy Matte Glitter With Nail Glue & Nail Tabs Stickers, Natural Fit Lightweight Fake Nails Kit Art For Women Girls",$15.98,"$6,945",4435,896,4.1,FBA,4,No
B0F8NQQ4TD,AILLSA RealFit Nude Tone Mixed Color Press On Nails 4 in 1 Pre-Shaped Nail Tips Medium Coffin Full Cover Fake Nails Extension Natural Gel Tips Easy to Apply For Nail Art DIY 140 PCS,$8.99,"$1,065",22737,82,4.1,FBA,5,No
B0D1Y2X3YF,"6 Packs (144 Pcs) Press on Nails Medium - Jsiallye Pink Gradient Press on Nails Square Coffin, Glue on with Nail in 12 Sizes - 24 Fake Nails Kit, French Tip Stick on Nails for Women",$8.99,"$2,607",14808,1543,3.8,FBA,6,No
B0BN578VSW,"Coffin Shape Press On Nails Set, Teenitor 24 Packs 576PCS Matte Short Coffin Glue On Nails Medium Length, 12 Colors Coffin , 12 Colors Glossy Press On Coffin Nails, Reusable, Nail Adhesive Tabs, Nail Stickers Rhinestone",$11.99,"$4,081",6005,4726,4.2,FBA,7,No
B09WTTGMSX,"Teenitor 600 Pcs Clear Coffin Nail Tips, Acrylic Nail Kit, Clear Press On Nails, Long Fake Nails Coffin Nail Tips Full Cover, Acrylic Nail Clipper Nail Stand for Nail Extensions",$8.54,$715,34702,3401,4.3,FBA,8,No
B0BNPW68RF,"Teenitor Long Press On Nails, Chrome Press On Nails, 288pcs Long Coffin Ballerina False Nails, 12 Colors Full Cover Glue On Nails Holographic Metallic Mirror",$11.99,,86552,603,4.4,FBA,9,No
B0BML46ZMN,"Teenitor Long Press On Nails Coffin Fake Nails Long Ballerina False Nails, 576pcs Long Coffin Press On Nails Full Cover Color Coffin Nail Tips, 24 Colors Glue On Nails Long Coffin Matte Press On Nails",$12.99,,26291,3164,4.4,FBA,10,No
