ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07PQ8WTC4,"Zacurate Pro Series 500DL Fingertip Pulse Oximeter Blood Oxygen Saturation Monitor with Silicone Cover, Batteries and Lanyard (Royal Black)",$22.99,"$37,998",712,241600,4.7,FBA,1,No
B07YVGZPRZ,"Innovo Deluxe iP900AP Fingertip Pulse Oximeter Blood Oxygen Saturation Monitor with Alarm, Plethysmograph and Perfusion Index",$34.99,"$17,130",2289,50142,4.7,FBA,2,No
B0DCG12WYV,Pulse Oximeter Fingertip Infant Pulse Oximeter Overnight for Kids Handheld Blood Oxygen Saturation Monitor for SpO2 and Pulse Rate Continuous Infant Monitoring Baby Oxygen Monitor & Adult Finger Spot,$129.56,$264,83762,167,3.7,FBA,3,No
B08HDGBF7P,"Wellue O2Ring Pulse Oximter, Bluetooth SPO2 Blood Oxygen Saturation Monitor - Wearable O2 Ring Sensor with Vibration Reminder, Free APP & PC Report, Rechargeable",$179.99,$830,40871,1818,4.1,FBA,4,No
B0DMNYYH1H,"Wellue Bluetooth Pulse Oximeter Fingertip, Blood Oxygen Saturation Monitor with Built-in Memory, OLED Screen, Batteries, Free APP, Carry Bag & Lanyard",$19.99,"$1,137",37903,8885,4.6,FBA,5,No
B077ZJ1ZKZ,"Innovo iP900BP-B Fingertip Pulse Oximeter, Blood Oxygen Monitor with Free App, Plethysmograph, and Perfusion Index (with Bluetooth)",$39.99,"$17,130",2779,6944,4.5,FBA,6,No
B08XPH8H7X,SleepO2 Wrist Recording Pulse Oximeter by EMAY | Continuous Pulse Oximeter to Record Blood Oxygen Saturation and Pulse Rate Overnight | Export Sleep Report & Raw Data,$99.00,$721,48051,1339,4.2,FBA,7,No
B06Y2FFQB9,Zacurate 500BL Fingertip Pulse Oximeter Blood Oxygen Saturation Monitor with Batteries Included (Navy Blue),$9.99,"$26,567",2004,124089,4.6,FBA,8,No
B07YX5C4LB,"Zacurate 500C Elite Fingertip Pulse Oximeter Blood Oxygen Saturation Monitor with Silicon Cover, Batteries and Lanyard (Mystic Black)",$34.99,"$39,598",712,241600,4.7,FBA,9,No
B08QHSDVDD,"HealthTree JKS50F Pulse Oximeter Rechargeable Fingertip Pulse Ox, Handheld Pulse Oximeter, Finger Blood Oxygen Saturation Monitor with SpO2 & Pulse Rate, Portable Oxygen Meter Finger for Adults",$99.00,$268,96017,188,4.1,FBA,10,No
