ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09MKZLVR7,Reacher,,,,0,,FBA,1,No
B0DLG9XYF3,SELOVO,$6.99,"$1,502",54655,270,4.7,FBA,2,No
B0FTNRC2JV,Roofman,,,376,0,4.3,FBA,3,No
111998369X,R All-in-One For Dummies,,$17,294105,30,4.4,FBA,4,No
B0C6JL8VR7,DuoDiner,$14.99,$342,88728,712,4.6,FBA,5,No
B09XQTDRTG,Gold Letter A-Z Keychain for Women Bag Charms Purse Charms For Handbags Metal Alphabet Initial Letter Keychain,$7.99,"$3,235",16150,1909,4.6,FBA,6,No
B004C00EO6,R.E.D. (Special Edition) [Blu-ray] (2011),$9.99,$131,127719,23168,4.7,FBA,7,No
B00DY76Z32,R.I.P.D. [Blu-ray],$90.62,$195,127582,13890,4.5,FBA,8,No
B0GMF2GKWW,R.S.,$9.99,,,0,,FBA,9,No
B008JFUPZI,R.I.P.D. [Blu-ray],$12.98,$184,64149,13901,4.5,FBA,10,No
