ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FS37K3B9,"Red Light Therapy for Face and Neck, Red Light Therapy Mask Portable Led Face Mask Cordless, Eye-Protection for True Anti-Wrinkles Skincare at Home",$98.19,"$1,533",94599,23,4.6,FBA,1,No
B0DQD79K5L,"Red Light Therapy Mask for Face, 8 Modes Ultra Lightweight Red Light Mask with 850nm Near Infrared, 2000mAh Rechargeable Portable LED Face Mask Light Therapy with Timer At Home",$75.90,$499,57578,80,4.2,FBA,2,No
B0CC64LPHF,"LED Face Mask Light Therapy Mask, 7 Modes Portable Red Light Therapy for Face with 2000mAh Rechargeable Remote, 850NM Infrared & Red Light Mask, 400 LEDs for Anti-Aging, at Home",$99.99,$44,282184,60,4.2,FBA,3,No
B09Z6Z5KGK,"LifePro – Red Light Therapy for Face – LED Face Mask Light Therapy with Red and Blue Modes – Vizacure Rechargeable, Portable Skincare Mask for At-Home Use",$49.99,$102,165934,570,4.2,FBA,4,No
B0FQ25P68J,"Red Light Therapy Mask for Face and Neck, 7 Color LED Light Therapy Mask with Rechargeable Controller, Adjustable Brightness and Timer, Portable Skin Care for Home Use",$69.99,$456,81996,21,4.7,FBA,5,No
B0DGTFQNKJ,"NVBOTY LED Face Mask Light Therapy, 4 Modes Portable Red Light Therapy for Face, 2000mAh Rechargeable Remote, Blue, Orange, 850NM Infrared & Red Light Mask, 400 LEDs, Timing Function, at Home & Travel",$93.48,$471,25000,774,4.4,FBA,6,No
B0F18BBHCC,"INIA Red Light Therapy Mask for Face – 4 Light Modes with 850nm NIR, Red & Blue LED Light Therapy, 2600mAh Rechargeable LED Face Mask for Radiant Glow at Home, Black",$89.99,"$13,424",4144,1110,4.4,FBA,7,No
B0FLDP8Y5W,"INIA Red Light Therapy Mask for Face – 4 Light Modes with 850nm NIR, Red & Blue LED Light Therapy, 2600mAh Rechargeable LED Face Mask for Radiant Glow at Home, Pink",$89.99,"$13,424",4373,1110,4.4,FBA,8,No
B0FYCZYTHP,"Red Light Therapy for Face,4 Modes Portable LED Face Mask, Red and 850nm Infrared Light Mask,15-Min Timer，256 LED Beads,Rechargeable for At-Home & Travel",$87.99,$220,62867,12,4.8,FBA,9,No
B0GXGJTB9N,"Red Light Therapy for Face and Neck, Red Light Therapy Mask Portable Led Face Mask Cordless, Eye-Protection for True Anti-Wrinkles Skincare at Home White",$129.99,,234509,0,,FBA,10,No
