ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0C1V7SKMS,"Ougourim Furniture Anchors (10 Packs) Anti Tip Furniture Anchors for Baby Proofing, Furniture Wall Anchor Earthquake Straps for Furniture Dresser Wall Safety Anchor Furniture Fasteners to Wall, White",$9.39,"$9,407",870,1709,4.8,FBA,1,No
B0FGX648FB,"Upgraded No Drill Adhesive Furniture Anchor, Adjustable Anti Tip Furniture Wall Straps for Baby Proofing & Pets, 2Pack",$19.95,$375,9120,48,4.4,FBA,2,No
B0G34JRM4W,"KURUI 180Pcs Self Drilling Drywall Anchors, Metal Heavy Duty Dry Wall Anchors and Screws Kit, Silver Renter Friendly Anchor for Sheetrock,Hollow Wall, Hanging Shelves,Mirrors,Wall Decor,Pictures",$8.99,"$1,240",4816,79,4.4,FBA,3,No
B0DH4FC4L1,"No Drill Metal Furniture Anchors (10 Packs) for Baby Proofing, 14"" Adhesive Anti-Tip Furniture Wall Safety Straps for Child, Keep Toddlers & Pets Safe from Falling Furniture Like Dresser & Bookshelf",$9.99,"$1,139",3293,256,4.4,FBA,4,No
B0F1Y8XL2W,"KURUI Drywall Anchors Assortment Kit With Self Drilling Wall Anchors and Heavy Duty Toggle Bolts, Metal/Plastic Dry Wall Anchors for Hanging Picture Art, 164Pcs Butterfly Anchor and Screws for Ceiling",$9.99,"$2,135",2798,604,4.6,FBA,5,No
B0G34HW8NR,"KURUI 110Pcs Heavy Duty Metal Drywall Anchors and Screws Kit, Easy Self Drilling, Durable & Renter Friendly, Silver Anchors for Sheetrock,Hollow Wall, Hanging Shelves,Mirrors,Wall Decor,Pictures",$7.98,"$1,240",4819,79,4.4,FBA,6,No
B0F7H53QN3,"3 Sizes Self Drilling Drywall Anchors with Screws Kit – 120PCS Heavy Duty Metal Expansion Bolts, Sheetrock Anchors & Drywall Grip Anchors and Screws for Shelf, Mirror, Cabinet, Picture Frames",$9.99,"$3,826",1320,373,4.6,FBA,7,No
B0FVLMB1TN,"LEYU 140PCS Self Drilling Drywall Anchors and Screws Kit #8 x 1-1/4”, Heavy Duty Sheetrock Anchors for Hanging Shelves,Picture Frames,Curtains, No Pre-Drilling, Plastic Dry Wall Anchors",$9.99,$729,9698,64,4.7,FBA,8,No
B0D1MSBMDB,"KURUI Drywall Anchors Assortment Kit for Sheetrock Concrete Brick, 350Pcs Wall Anchors and Flat Head Screws, 5 Sizes Picture Hanging Set for Bedroom/Office Wall Art Decor, House Warming Gifts New Home",$14.39,"$3,149",1643,937,4.6,FBA,9,No
B0FNWB8KQF,"Upgraded 100 Pcs Self Drilling Drywall Anchors with Screws Kit, Zinc Plated Steel Sheetrock Anchors and Screws, No Drill Needed, Holds 66LB for TV, Shelf, Decor, Picture Frame Wall Mounting",$6.98,"$2,477",1494,246,4.7,FBA,10,No
