ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08GYKQLD4,"Reusable Half Face Cover Set, Half Face Respirаtor, Personal Protective Equipment Filter for Painting, Decorating Carpentry, Welding, Metal Cutting, Same Scene as 6000 6200 7000 FF-400 (Medium)",$35.99,"$2,605",,1541,4.4,FBA,1,No
B007JZ1N00,"3M Half Facepiece Reusable Respirator 6200, NIOSH, Four-Point Harness, Comfortable Fit, Dual Airline Supplied Air Compatible, Bayonet Connections, Painting, Sanding, Cleaning, Medium",$16.39,"$7,850",,25703,4.6,FBA,2,No
B0GQNP3S75,"Half Face Respirator Mask with 2 A1 Gas Filters & 8 P2 Dust Replacement Filters, RD-510 Reusable Respirator for Cleaning,Painting, Resin, Solvent Fumes,Sanding,Home and Industrial Dust",$29.99,$337,,11,4.4,FBA,3,No
B002NMFLU2,"3M P100/OV Odor/Particulate Multi-Purpose Reusable Respirator 65021, NIOSH-APPROVED Organic Vapor Cartridge, Medium",$33.95,"$15,486",,1151,4.7,FBA,4,No
B007JZ1MK6,"3M Half Facepiece Reusable Respirator 6300, NIOSH, Four-Point Harness, Comfortable Fit, Dual Airline Supplied Air Compatible, Bayonet Connections, Painting, Sanding, Cleaning, Large",$20.24,"$7,850",,25703,4.6,FBA,5,No
B008MCUT86,"3M Reusable Respirator Half Facepiece 7502, NIOSH, 3M Cool Flow Valve, Dual Airline Supplied Air Compatible, Integrated Dropdown Suspension, Bayonet Connections, For Chemical Handling, Painting, Med",$33.89,"$1,807",,6660,4.7,FBA,6,No
B00IF7RCU6,3M Rugged Comfort Quick Latch Half Facepiece Reusable Respirator,$29.99,"$3,042",,15477,4.7,FBA,7,No
B0FH2T72H1,"Reusable Half Face Respirator Mask with 6 Filters,2818 Food-Grade Silicone Dust Mask for Painting,Cleaning,Sanding",$22.99,"$1,257",,158,4.4,FBA,8,No
B000FTEDMM,"3M Half Facepiece Reusable Respirator Assembly Kit 6291, Size Medium, P100, Lightweight, Comfortable, Easy to Adjust, Includes 2091 Particulate Filter, Welding, Soldering, Asbestos",$24.19,"$1,040",,3153,4.5,FBA,9,No
B0FZJ2D6Z6,"Reusable Respirator Gas Mask,2-in-1 Half Face Respirator with Replaceable Filters, Protection Against Chemicals, Organic Vapors, Dust, Particles for Painting, Welding, Woodworking, Pest Control",$24.64,"$1,122",,53,4.1,FBA,10,No
