ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DJCH52BQ,"NAD+, Resveratrol, Berberine, & Biotin Anti-Aging Gummy - Hair, Skin, Nails & Joint Supplement - Collagen Peptides, Keratin, Zinc, Vitamin K2 & D3 Gummies -Regeneration- Non-GMO - Made in USA 60 Count",$29.95,$399,55292,305,4.4,FBA,1,No
B0BCQTT73S,Sugar-Free Resveratrol Gummies - Potent Anti-Aging Antioxidant - Resveratrol Supplement to Support Digestive & Immune Health - Natural Herb for Cell Growth & Repair - Easy Chewable NMN Alternative,$24.95,$511,50639,478,4.5,FBA,2,No
B0C4P4X2W3,"Resveratrol Supplement 1500mg - Resveratrol Gummies Supports NAD⁺, NMN & NMNH Synergy, with Quercetin, Grape Seed, Acai Berries Extracts for Antioxidant, Healthy Aging & longevity, Skin, Brain - 2Pcs",$38.59,$257,69541,183,4.4,FBA,3,No
B0FFH82DT9,"NAD+ Gummies, 1200mg Liposomal NAD Supplement for Women & Men with Trans-Resveratrol & Black Pepper Extract Anti-Aging Supplement, Brain & Cellular Mitochondrial Health - 60 Gummies Cherry",$9.99,$657,39953,29,4.2,FBA,4,No
B0CMV7JMDN,"Effective Nutra Resveratrol Gummies 1500mg – Sugar Free Antioxidant Supplement for Heart Health, Immunity & Brain Support – Vegan, Non-GMO, 3rd Party Tested, Raspberry Watermelon, 90 Count",$21.95,$313,72730,178,4.5,FBA,5,No
B0D83XCD4Z,Adndale Liposomal NAD Supplement. Longevity Formula NMN Supplement Alternative. 90CT Advanced NAD+ Resveratrol,$25.83,"$1,977",19126,1139,4.7,FBA,6,No
B0F3HV8RG7,"NAD+ Gummies, 1200mg Liposomal NAD Supplement for Women & Men with Trans-Resveratrol & Black Pepper Extract Anti-Aging Supplement, Brain & Cellular Mitochondrial Health - 60 Gummies Strawberry",$18.99,$657,39951,106,4.1,FBA,7,No
B0G1M7T9KB,"Resveratrol Gummies, Women's Formula Supplement with Hydrolyzed Collagen, Grape Seed Extract, and Vitamin D3. Supports antioxidant Defense, Anti-Aging, and Energy Replenishment 120 Count",$17.99,$15,383595,2,4,FBA,8,No
B0FFB441PX,"NAD+ Gummies, 1200mg Liposomal NAD Supplement for Women & Men with Trans-Resveratrol & Black Pepper Extract Anti-Aging Supplement, Brain & Cellular Mitochondrial Health - 120 Gummies Strawberry",$28.99,$657,39953,106,4.1,FBA,9,No
B0DS92L8B9,"NAD Supplement Gummies Sugar-Free, NAD Nicotinamide Riboside Resveratrol 900mg w. Quercetin, Collagen Biotin & Vitamin, High Potency NAD Resveratrol Supplements for Anti Aging, Energy, Focus",$17.58,$52,169857,44,4.6,FBA,10,No
