ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B087PW8WS9,"Chloven 30 Pack Reusable Makeup Remover Pads - Bamboo Cotton Rounds for Toner, Washable, Eco-Friendly for All Skin Types with Cotton Bag for Storage",$8.99,"$3,763",8551,8681,4.6,FBA,1,No
B07T8BVYGS,"Greenzla Reusable Makeup Remover Pads (20 Pack) Washable Laundry Bag & Round Box for Storage, Reusable Bamboo Cotton Rounds for All Skin Types",$10.99,"$1,401",17511,42204,4.6,FBA,2,No
B091Y7WLPZ,"20 Packs Organic Reusable Makeup Remover Pads, Washable Bamboo Cotton Rounds for All Skin Types with Cotton Laundry Bag",$11.99,"$1,115",19867,4005,4.6,FBA,3,No
B0FG2XQ7Z9,"Cotton Cleansing Pads BS-MALL Gentle Reusable Rounds for Face & Eye Makeup Remover Pads for Face, Eyes & Lips, Soft Disposable Cotton Rounds for Sensitive Skin with 1 Mask Brush",$7.59,$147,74181,37,4.3,FBA,4,No
B0CZCZQ4JP,"Puomue Makeup Remover Cloth 12 Pack, Ultra Soft and Reusable Microfiber Makeup Remover Towels for All Skin Types, Perfect Face Towels for Women, 6 Inch X 6 Inch, Multicolor",$5.99,"$9,265",3749,1426,4.6,FBA,5,No
B09KDW6TZN,"The Original MakeUp Eraser 7-Day Set, Erase All Makeup With Just Water, Including Waterproof Mascara, Eyeliner, Foundation, Lipstick, Sunscreen, and More! Neutrals, 7ct.",$25.00,,29452,3371,4.5,FBA,6,No
B07QN5NFYP,"Ogato Reusable Makeup Remover Cloth - 5pc Face Pads, Makeup Eraser Cloth Wipes for All Skin Types - Washable Microfiber Make Up Reusable Cotton Rounds for Face - With Included Laundry Bag",$9.99,$643,37884,4674,4.5,FBA,7,No
B09G9Z39WR,"Makeup Remover Cloth, 6"" x 6"" Makeup Remover Towels Reusable Face Cloth for Washing Face, Makeup Remover Pads Microfiber Face Washcloth with Mesh Bag, 12 Pack, Grey",$9.99,"$5,059",7939,5322,4.5,FBA,8,No
B07VFLTJYH,"Reusable Makeup Remover Pads (16 Pack) with 2 Bags for Laundry & Storage, Reusable Bamboo Cotton Rounds, Eco-Friendly Reusable Cotton Pads for All Skin Types",$7.99,$535,38265,9064,4.6,FBA,9,No
B0FK3FNFP2,Reusable Face Makeup Remover Pads 16pcs 100% Organic Cotton Pads Cleaning Face Wipes Cloth Washable Face Round Cotton with Laundry Net Bag and Fashionable Metal Box Suit for Adults and Kids,$9.39,$184,85589,37,4.6,FBA,10,No
