ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CB3DP82T,"Rdiner Heavy Flow High Absorbency Period Underwear Women, Leakproof Panties Postpartum Menstrual Hipster Briefs Teens 3 Pack",$24.99,"$2,172",21375,1788,4.3,FBA,1,No
B0D1R3CKKF,"YESWEL Period Underwear For Women, Leak-Proof Hipster, Brief, Heavy Flow, 3 Pack",$17.99,"$7,626",7428,1590,4.3,FBA,2,No
B0DDTPBCF2,TANSTC Period Underwear for Women Heavy Flow Leakproof Menstrual Panties Postpartum Hipster Briefs 3 Pack,$23.99,"$2,303",24515,2776,4.3,FBA,3,No
B07V7TRP8H,INNERSY Period Underwear for Women High Waisted Leak-Proof Postpartum Menstrual Panties 3-Pack,$24.99,"$10,978",1325,9829,4.3,FBA,4,No
B09DSY5XCS,"Sexy Period Underwear for Women, Lace Leak Proof Period Thongs, 4 Layers Absorbent Panties Bikinis",$11.45,$730,63687,1118,4,FBA,5,No
B0D97FNH7Z,Period Underwear for Women Heavy Flow – Leakproof Cotton Menstrual Panties 3 Pack (Runs small. Size up),$14.97,"$1,724",14535,1937,4.3,FBA,6,No
B0CMF2H5FH,"Hanes Women's Comfort, Period. Underwear, Bikini Period Underwear, Super Leaks Period Underwear, 3-pack",$21.98,"$20,418",1516,5772,4.2,FBA,7,No
B0BNP9M6WV,"Bambody Absorbent Period Panties, Period Underwear for Women and Teens - All-Day Long - Overnight Protection - Leakproof",$32.99,"$2,315",1877,15024,4.4,FBA,8,No
B0G1Y7GC45,"Period Underwear for Women High-Waist, Leakproof Reusable Panties for Heavy Flow & Bladder Leak Incontinence",$19.99,$610,45909,47,4.5,FBA,9,No
B0GCBHMMS4,"Period Underwear for Women Heavy Flow, 40ml Absorbent Leakproof Bikini, Organic Cotton Reusable Washable, 3 Pack",$31.99,$19,622591,8,4.6,FBA,10,No
