ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B096L8B1SC,"Ring Interchangeable Faceplate for Doorbells - Video Doorbell 3, Video Doorbell 3 Plus, Video Doorbell 4, Battery Doorbell Plus - White",$14.99,"$2,200",209,0,4.6,FBA,1,No
B082XG5LR8,"Ring Interchangeable Faceplate for Doorbells - Video Doorbell 3, Video Doorbell 3 Plus, Video Doorbell 4, Battery Doorbell Plus, Battery Doorbell Pro - Galaxy Black",$14.99,"$2,200",206,0,4.6,FBA,2,No
B082XGMHGH,"Ring Interchangeable Faceplate for Doorbells - Video Doorbell 3, Video Doorbell 3 Plus, Video Doorbell 4, Battery Doorbell Plus, Battery Doorbell Pro - Pearl White",$14.99,"$2,200",200,9,4.6,FBA,3,No
B08LYFVZ3F,Ring Video Doorbell Wired (2021 release) Faceplate - Galaxy Black,$9.99,$682,375,1,4.4,FBA,4,No
B0FH34CN1Y,"Ring Interchangeable Faceplate — Compatible with Wired Doorbell Plus (2nd Gen), Polished Navy",$14.99,"$3,682",167,0,4.7,FBA,5,No
B08DJ9XYNB,Ring Wired Doorbell Pro (Video Doorbell Pro 2) Faceplate - Galaxy Black,$14.99,$753,339,0,4.6,FBA,6,No
B07Z5P53JJ,Ring Video Doorbell 2 Faceplate - Firecracker,$14.99,$887,340,21,4.4,FBA,7,No
B07Z5PBXB5,"Ring Wired Doorbell Plus (Video Doorbell Pro) Faceplate - Galaxy Black, 1 Count",$14.99,$887,412,0,4.5,FBA,8,No
B07Z5P8RS2,Ring Video Doorbell 2 Faceplate - Neon Purple,$14.99,$887,359,10,4.4,FBA,9,No
B0F9BD1JQ8,"Ring Interchangeable Faceplate — Compatible with Wired Doorbell Pro (3rd Gen), Polished Navy",$14.99,"$3,696",139,0,4.7,FBA,10,No
