ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0C2P76DW5,Toe Socks Liner Crew Socks for Men Women Coolmax Five Finger Socks 3 Pairs Running Socks,$28.95,$459,78953,630,4.4,FBA,1,No
B0G6MVC98F,"SpecOps Biosciences Trail-Ready Foot Combo – Military-Grade Moleskin + 2 Pairs Merino Wool Blend Socks for Hiking, Rucking & Long Miles",$29.98,,,0,5,FBA,2,No
B0D3WYVFWN,"OK TAPE Pre-Cut Blister Bandages for feet | Blister Prevention Tape for Feet, Fingers, Toes | 1.2in x 3.5in,Black,40pcs",$9.99,"$2,181",15879,513,4.3,FBA,3,No
B0FMXLXDRL,"32PCS Hydrocolloid Blister Bandages for Feet – Waterproof Hydrocolloid Bandages, Gel Blister Pads for Heel & Toe, Blister Cushions for Prevention & Faster Recovery (32PCS-Variety Pack)",$9.98,"$2,916",8812,72,4.3,FBA,4,No
B00115UN9Q,"Body Glide Foot Glide Anti Blister Balm | blister prevention for heels, shoes, cleats, boots, socks, and sandals | Use on toes, heel, ankle, arch, sole and ball of foot | 0.8oz",$8.99,"$16,375",2673,14145,4.6,FBA,5,No
B0D5BF51HK,Merino Protect Merino Wool Toe Socks Women Men Thin Liner Socks Low Cut Athletic Sock 3 Pairs For Running Hiking,$29.99,$127,77485,66,4.4,FBA,6,No
B00AK8EE4U,Injinji Liner Crew Toesocks,,$301,126305,3344,4.6,FBA,7,No
B0CMBDZM7S,Toe Socks for Men Soft & Breathable for Protection - Toe Cover Socks for Blisters While Running and Hiking,$17.50,$104,268447,26,4.1,FBA,8,No
B00CSJ1CY4,Fox River Outdoor Wick Dry Alturas Ultra-Lightweight Liner Socks,$11.00,"$1,472",24053,4174,4.4,FBA,9,No
B0F5W51TKT,"Meaiguo Toe Socks for Men Women Coolmax Ankle Five Finger Socks for Running Athletic Breathable Lightweight,3 Pairs",$24.99,$254,144653,50,4.8,FBA,10,No
