ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08LN7YSDK,"HEETA Scalp Massager Hair Growth, Scalp Scrubber with Soft Bristles, Integrated Silicone Design, Exfoliator for Dandruff Removal & Relaxation, Shampoo Brush Fit Wet Dry Hair Use, Black",$6.99,"$5,060",4749,1186,4.6,FBA,1,No
B076Q6442Z,"HEETA Scalp Massager Hair Growth, Soft Silicone Scalp Scrubber Shampoo Brush for Exfoliation, Dandruff Removal Head Massage Stress Relax, Wet & Dry Use for Thick Thin Curly Hair Care, Black",$7.49,"$35,450",1062,154719,4.6,FBA,2,No
B08NVKNY6Q,"HEETA Hair Scalp Massager Shampoo Brush 2 Pack, Soft Silicone Bristles to Remove Dandruff, Waterproof Hair Scrubber for Both Wet Dry Use, Suitable for Men & Women (Green & Black)",$7.99,"$6,959",5369,15835,4.6,FBA,3,No
B0DJW48K4V,"SILKLE Scalp Massager Shampoo Brush – Silicone Scalp Scrubber for Hair Growth & Dandruff Removal, One-Piece, Non-Slip Handle, Soft Bristles, Wet/Dry Shower Scalp Exfoliator for All Hair Types – Black",$7.99,$608,43145,96,4.4,FBA,4,No
B081F9VFF5,"FREATECH Scalp Scrubber Scalp Massager Hair Growth, Shower Shampoo Brush with Silicone Bristles for Dandruff Removal and Hair Care, Wet & Dry Hair Massager Scalp Exfoliator for Men Women Kids，Black",$5.69,"$1,544",23368,70786,4.6,FBA,5,No
B0C14C5N8D,"Meartchy Silicone Scalp Massager Shampoo Brush, Scalp Brush for Hair Growth & Dandruff Removal, Hair Scrubber Scalp Stimulator Exfoliator Brush with Soft Bristles for Wet Dry Scalp Care (Black)",$5.94,"$16,381",2990,1884,4.7,FBA,6,No
B09N35WQWM,"Sndyi Scalp Massager Shampoo Brush, Scalp Scrubber with Soft Silicone Bristles, Scalp Exfoliator for Dandruff Removal, Scalp Massager for Hair Growth, Wet Dry Hair Brush for Scalp Care, Green",$6.99,"$6,897",4307,9642,4.6,FBA,7,No
B0FCXSMCSK,Scalp Massager Brush for Hair Growth – Silicone Scalp Scrubber & Scalp Exfoliator – Manual Scalp Massager Brush for Wet or Dry Use – Hair Massager Scalp Shampoo Brush Tool (Pink),$5.39,$553,39080,18,3.9,FBA,8,No
B0FLYHMFWM,"SILKLE Scalp Massager Shampoo Brush – Silicone Scalp Scrubber for Hair Growth & Dandruff Removal, One-Piece, Non-Slip Handle, Soft Bristles, Wet/Dry Shower Scalp Exfoliator for All Hair Types – Brown",$7.99,$608,43145,96,4.4,FBA,9,No
B0C4LGQSL5,"AIMIKE Scalp Massager Shampoo Brush, Soft Silicone Scalp Scrubber, Scalp Brush/Exfoliator for Washing Hair Dandruff, Scalp Massager Hair Growth Stimulator, Wet Dry Scalp Hair Scrubber - Oatmeal",$8.99,"$1,403",21726,1972,4.6,FBA,10,No
