ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B081BD9T6Q,"Atlantic Naturals Superfood Organic Irish Sea Moss Capsules - 120 Veggie Capsules | Wildcrafted Organic Sea Moss Supplement for Men & Women | Better Than Sea Moss Gel | Support Immunity & Skin, 1000mg",$27.99,$234,72691,927,4.5,FBA,1,No
B0C1S1Y9XM,"Amen Sea Moss Supplement - 1000mg Organic Irish Sea Moss, Bladderwrack, Burdock - Vitamin C, Aloe Vera, Black Pepper - Seaweed Superfood, Vitamins, Minerals, and Antioxidants - Non-GMO - 90 Capsules",$26.99,$39,228569,75,4.6,FBA,2,No
B0DHNV75VG,"Organic Irish Sea Moss Capsules 120 Count –16 in 1 Sea Moss Supplement with Black Seed Oil, Ashwagandha, Turmeric & Ginger, Bladderwrack & Burdock Root, Vitamin D3 –Organic, Vegan, Halal, Non-GMO",$34.44,$145,117213,106,4.6,FBA,3,No
B08VF7T1X7,ORGANICS NATURE Irish Sea Moss Capsules 45 Servings | High Potency Seamoss Pills | Dr. Sebi Approved Sea Moss for Energy 90 Vegan Capsules,$35.99,$494,56159,762,4.4,FBA,4,No
B08QTXRT84,"VitaRaw Organic Irish Sea Moss Capsules 2400 mg - Burdock Root and Bladderwrack Powder Real Seamoss Pills for Immune Support, Joint and Gut Health Help - Raw Sea Moss Advanced Herbal Supplement",$19.99,$781,36707,4637,4.5,FBA,5,No
B0CTJQZW2W,"Organics Ocean Wild Sea Moss Capsules - 100% Organic Irish Sea Moss with Organic Chlorella, Bladderwrack and Vitamin D for Energy, Lung Health and Thyroid Support for Women and Men - 60 Capsules",$39.99,"$1,222",29757,638,4.4,FBA,6,No
B08QQ5FP1X,"Irish Sea Moss Capsules, More Potent Than Sea Moss Gel Extract (180 Count, 1,200mg per Serving) (from Wildcrafted and Raw Chondrus Crispus) Nutrient Rich Superfood High in Minerals by Double Wood",$19.95,"$1,726",18637,3558,4.5,FBA,7,No
B0DR18Q7W8,"Sea Moss Black Seed Oil Ashwagandha Ginger, Sea Moss Capsule Supplement with Turmeric Burdock Root Bladderwrack Vitamin C Vitamin D3 Enhanced Immunity & Energy Black Seed Oil Capsule 60 Count",$8.99,"$12,550",3712,1932,4.6,FBA,8,No
B0CNXZFT6Y,"Sea Moss Capsules with Burdock Root, Bladderwrack & Muira Puama – Plant-Based Sea Moss Supplement with Raw Powder – 120 Capsules",$25.97,"$1,625",20221,1798,4.5,FBA,9,No
B08J7DCQWP,"American Standard Supplements Organic Sea Moss, Bladderwrack & Burdock Root Capsules - 1200mg Seamoss, 1200mg Bladderwrack, 225mg Burdock Root Per Serving - 120 Capsules, 40 Servings",$19.99,"$2,002",18612,10049,4.5,FBA,10,No
