ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B073CZ5275,Travelambo Front Pocket Minimalist Leather Slim Wallet RFID Blocking Carbon Fiber Texture,$6.99,$736,67936,14027,4.6,FBA,1,No
B0FM2NJ37V,"Slim Minimalist Wallet for Men,Front Pocket Wallet RFID Blocking Small Thin Credit Card Holder,ID Card Case Gift for Men Coffee",$6.63,$822,50146,122,4.5,FBA,2,No
B091FGC81B,Travelambo Money Clip for Men Magnetic Front Pocket Wallet Slim Wallet Minimalist Card Holder RFID Blocking (Coffee),$7.99,"$1,246",25033,7638,4.5,FBA,3,No
B0CP43BFFL,"Vaultskin MOORGATE Slim Card Holder – Minimalist Leather Wallet with RFID Blocking, Front Pocket Credit Card Case for Men & Women",$19.99,$873,52025,508,4.6,FBA,4,No
B0CBPLNJZ8,"FurArt Slim Minimalist Wallet, Front Pocket Wallets, RFID Blocking, Credit Card Holder for Men",$11.99,"$5,839",7616,46236,4.7,FBA,5,No
B07VRDKCWT,ELFISH Mini RFID Aluminum Wallet Credit Cards Holder Business Card Case Metal ID Case for Men Women (Acolorful),$6.98,"$10,584",2310,22160,4.6,FBA,6,No
B0FJS2ZX91,"Artpaxy Slim Wallet for Men & Women, Minimalist Front Pocket Card Holder for Travel, RFID Blocking, Water Resistant Nylon Wallet for ID & Cash & Credit Card",$12.99,$217,158580,62,4.5,FBA,7,No
B09VXVTBBN,"Travelambo 100% Genuine Leather Wallet for Men and Women, Slim Minimalist RFID Blocking Front Pocket Credit Card Holder with Gift Box",$14.99,$399,109596,9368,4.6,FBA,8,No
B0D4TPMFG3,"Buffway Mens Slim Wallet, Minimalist Thin Front Pocket Leather Credit Card Holder with RFID Blocking for Work Travel | Minimalist, Thin, Front Pocket, Credit Card Holder, RFID Blocking, for Work Travel",$12.99,"$1,182",,8535,4.6,FBA,9,No
B0BGSMTJRX,"FINTIE Slim Credit Card Wallet Holder Change Pouch, RFID Blocking Business Cards Cases with Zipper Pocket for Cash, Coin, Receipt, Mattle Black",$14.99,$445,94235,1163,4.5,FBA,10,No
