ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F9PHKFB7,Ripeng 1 Pcs Sharps Container System Wall Mount Locking with Glove Box for 5 Qt Sharp Container Wall Mount,$44.99,$30,197376,5,3,FBA,1,No
B0FHB8Q4N9,"Shimeyao 2 Pcs Wall Cart Sharps Bracket for 2 Gallon Sharps Container Wall Mount Cart Mounting, 10 x 7.5 x 6.5 Inch (Silver)",$42.99,$171,100154,10,4,FBA,2,No
B0DZCQRNZ9,"Teenyyou 2 Set Wall Mount Sharps Container Mounting Bracket for 1 Quart 8702, 8702T, 8721 Stackable Sharps Container, White",$13.99,$110,135596,20,4.2,FBA,3,No
B0FDBF6D96,"Blulu 2 Pack Glove Box Holder/Dispenser Stainless Steel Triple Wall Mounted Glove Box Organizer, 9.84""H x 14.96""W x 3.74""D",$64.99,$85,99990,5,4.8,FBA,4,No
B0CWPRNC33,"MailBack 5 Gallon Gallon PureWay Sharps Container Disposal System - [PrePaid Return Label Included] for Home, Travel, Professional, and Personal Use",$131.00,"$1,197",27997,247,4.6,FBA,5,No
B0GRMSGZN7,"1 Quart Sharps Container Wall Mount Holder with Included Container, Single Secure-Fit Wall Bracket, Easy Install & Quick Removal for Clinic, Tattoo, Med Spa & Home",$9.99,$4,220322,0,3,FBA,6,No
B00X6L1HFW,"Oakridge Products Sharps Container for Home Use and Professional 5 Quart (2-Pack), Biohazard Needle and Syringe Disposal, Mailbox Style Lid, CDC Certified",$17.49,"$5,668",7032,3526,4.8,FBA,7,No
B0BFJW6X41,Alcedo Sharps Container for Home Use 1 Quart (1-Pack) | Biohazard Needle and Syringe Disposal | Small Portable Container for Travel and Professional Use,$6.95,"$47,073",479,10120,4.7,FBA,8,No
B0CP9ZV2WB,Sharps Container Small - Sharps Containers for Home Use and Labs - Portable Needle Disposal and Travel Size Biohazard Bin - 1 Quart (Pack of 1),$10.99,"$25,116",2231,4092,4.6,FBA,9,No
B0DMFFNHTP,"Geiserailie 1 Set Wall Mount Locking Cabinet with Glove Box for 5 Qt Sharps Container, Sharps Box Not Included",$47.99,$167,103423,35,4.9,FBA,10,No
