ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GZZ9XX1F,"Supreme Male Max Alpha Gummies for Men, 10 in 1 4000mg Shilajit Gummies with Ashwagandha, Tongkat Ali & Black Musli, Supports Daily Energy, 30 Count",$29.98,,303510,0,,FBA,1,No
B0G4LZ9748,"Formulation Factory Self Obsessed Shilajit Gummies for Men, Tongkat Ali + Fadogia Agrestis Supplement, Energy, Strength, Drive & Vitality Support, Natural Masculinity Formula, 60 Count (Pack of 1)",$29.99,"$4,693",9424,21,4.3,FBA,2,No
B0GYPYWP95,"Cured Gold Grade Himalayan Shilajit Gummies for Men, Sea Moss and Fenugreek Extract, Blue Spirulina Daily Energy Support, Manuka Honey Flavor, 30 Count",$24.99,,104093,0,,FBA,3,No
B0FPGNR6QD,Shilajit Gummies – Men’s Daily Energy & Stamina Booster – Sharper Focus & Strength w/Ashwagandha for Men – Cellular Energy & Performance Supplement – 60 Count,$50.99,$30,223730,38,,FBA,4,No
B0GQJXN984,"Shilajit Natural Himalayan Shilajit Gummies for Men & Women, High Fulvic Acid, Energy & Stamina, Immune Support, 85+ Trace Minerals, Lab Tested 100% Organic Berry, 60 Gummies",$34.00,$72,151475,3,4.7,FBA,5,No
B0DF4SH5Y7,"Shilajit Gummies for Men 3000mg – 120 Gold Shilajit for Men Gummies Sugar Free with Fulvic Acid – Natural Energy, Vitality & Stamina Support Chewable – Pure Himalayan Shilajit Gummy Chews",$9.50,$299,61788,87,3.9,FBA,6,No
B0FXCG7BL9,"Pure Shilajit Gummies with Ashwagandha,Trace Minerals & Fulvic Acid, Natural & Non GMO Supplement for Men & Women, 30 Count",$31.99,"$5,981",8258,235,4.2,FBA,7,No
B0FPQDGYN2,"Shilajit for Men & Women Gummies | 4000mg High Potency 10-in-1 Formula with Pure Himalayan Shilajit, Ashwagandha, and 75% Fulvic Acid | Sugar-Free Vegan, 85+ Trace Minerals",$30.99,"$12,413",5209,1572,4.4,FBA,8,No
B0DQ8B9VSB,"Shilajit Gummies for Men & Women - Shilajit Gold Gummies Rich In Ashwagandha, Gokshura with 85+ Minerals, Authentic Flavor,Organic, Zero Sugar & Vegan, 100% Natural - 80 Count (80 Count (Pack of 1))",$21.99,"$1,377",9262,1143,4.5,FBA,9,No
B0DXDT46HV,"Himalayan* Shilajit Gummies with Ashwagandha & Gokshura | 85+ Trace Minerals & Fulvic Acid | Organic, Non-GMO Micronutrient Supplement for Men & Women | 100% Pure & Natural",$27.99,"$12,413",5141,1572,4.4,FBA,10,No
