ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F9TMG97R,"EZ2C 12""x18"" Silhouette Paper Shooting Target, Premium Paper Shooting Targets for Gun Range. Made in USA Pistol and Rifle, Hunting Targets Gun Gifts for Men and Women",$25.99,$35,158849,49,4.4,FBA,1,No
B0CJ98GZBL,"Highwild Sight in Shooting Range Paper Target - 17X25 Inches - Suitable for Handguns, Rifles, Airguns, BB Guns",$13.99,$161,26140,220,4.8,FBA,2,No
B0C1S9CPDJ,Fainne Paper Targets for Shooting 12 x 12 Inch Sight Paper Shooting Targets Range Bulk for Hunting Accessories Indoor Outdoor Gun Pistol Rifle Practice,$23.99,$34,117983,109,4.6,FBA,3,No
B0GMY4SNR1,"Paper Shooting Targets – 3 Inch Bullseye Target Sheets for Pistol & Rifle Practice, 50 Pack (25 Each Design), Designed and Tested in USA",$18.99,$7,441954,5,4.5,FBA,4,No
B0CGTKV5SW,"Highwild Shooting Range Silhouette Paper Target - 23X35 Inches - Suitable for Handguns, Rifles, Airguns, BB Guns",$13.99,"$2,582",1803,953,4.7,FBA,5,No
B0FS6WK917,"Silhouette Paper Shooting Target for The Range, Aiming Target Practice Paper for Indoor and Outdoor Shooting, Gun Accessories, for Handguns, Pistols, Rifles, Airguns, Pellet Gun, BB Guns -14X22 inches",$9.99,"$2,123",5355,135,4.6,FBA,6,No
B07TLB33FX,"Juvale Paper Shooting Targets for Shooting Range - 50 Pack, 14 x 22 in, Silhouette & Red Bullseye - Pistol Targets",$9.99,$876,5751,3705,4.7,FBA,7,No
B0CWGQNXSH,"Highwild Shooting Range Silhouette Paper Target - 23X35 Inches - Suitable for Handguns, Rifles, Airguns, BB Guns",$29.99,"$2,582",1794,956,4.7,FBA,8,No
B0CZD87ZT5,"ATFLBOX Silhouette Paper Target for The Range, 23X35 inch Target Paper for Indoor and Outdoor Use, Suitable for Handguns, Pistols, Rifles, Airguns, Pellet Gun, BB Guns",$15.99,"$1,326",6257,841,4.8,FBA,9,No
B0FJRWL6FN,"Atflbox 5-Color Silhouette Paper Target for The Range, 23X35 inch High Visibility Target Paper for Indoor and Outdoor Use, Suitable for Handguns, Pistols, Rifles, Airguns, Pellet BB Guns",$16.99,$530,25229,78,4.6,FBA,10,No
