ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01J1BLYUS,"Ticent Ice Cube Trays (Set of 2), Silicone Sphere Whiskey Ice Ball Maker with Lids & Large Square Ice Cube Molds for Cocktails & Bourbon - Reusable & BPA Free",$9.98,"$1,375",15965,20816,4.3,FBA,1,No
B0FQ563XH8,"Clear Ice Ball Maker Mold,4 Cavity Ice Sphere Mold for Whiskey,2.36"" Whiskey Ice Ball Mold,Idea Gifts for Dad Boyfriend Boss Men who Have Everything",$40.99,$19,209884,35,4.1,FBA,2,No
B0GMFQQ7QJ,"Clear Ice Cube Maker Premium Gift Set – Stainless Steel Whiskey Ice Ball Mold, 2.5” Ice Sphere with BPA-Free Silicone, Slow Melting Easy Release Ice for Bourbon Cocktails, Ideal Gifts for Men Dad",$39.99,$56,123876,25,4.8,FBA,3,No
B0DBQ64QMB,"WIBIMEN Ice Cube Tray with Lid and Bin - Round Ice Trays for Freezer with Lid - Ice Cube Trays for Freezer with Ice Container (1""-2PACK Blue)",$14.99,"$14,235",408,21384,4.4,FBA,4,No
B0868B3HN2,"Samuelworld Large Silicone Premium Ice Trays, 2-Pack Combo, 2 Inches Big Cubes & 2.5 Inches Sphere Ice Molds - BPA Free, Craft Ice Maker for Gifting, Whiskey, Cocktails, Easy Release - Gray",$14.99,"$2,976",2455,11165,4.6,FBA,5,No
B0BXKHKDCX,"Silicone Ice Ball Molds for Whiskey - Set of 4 Round Makers with Lids for Cocktails, Bourbon, and Drinks",$12.99,"$5,489",1157,3415,4.4,FBA,6,No
B007ACTN54,Tovolo Sphere Ice Molds - Set of 2,$9.73,"$2,826",3045,33255,4.7,FBA,7,No
B0C3LPTR8R,"Ice Cube Tray with Lid and Bin – Round Ice Cube Trays for Freezer, BPA-Free Food-Grade Ice Mold, Stackable Ice Ball Maker, Iced Bucket Kits, Circle Ice Tray for Cocktails, Whiskey, Coffee, and Drinks",$7.99,"$7,885",962,5461,4.5,FBA,8,No
B09YC5LF28,"Round Ice Cube Mold with Lid - 2.2 Inch Sphere Ice Ball Maker, Large Whiskey Ice Cubes Mold with Easy Release, Reusable Silicone & Plastic Tray for Bourbon, Scotch, Brandy, Cocktails, Gift",$7.99,"$1,120",8440,2928,4.4,FBA,9,No
B0CQ47KLLP,"WIBIMEN Large Ice Cube Molds, 1.9"" Round Ice Cube Mold for Whiskey, Easy Fill & Twist Release, Ice Ball Maker Mold for Bourbon Cocktail(1.9In*6 Balls- Blue/2 Pack)",$12.86,"$6,102",1544,4714,4.5,FBA,10,No
