ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DNKK7D69,"AOA Studio Silky Silicone Makeup Sponge Set, Reusable Cosmetic Applicators Extra Soft Rubycell Makeup Sponges (Onyx)",$9.95,$134,87456,43,4.4,FBA,1,No
B01GGT6G24,"Constantia Beauty® Natural Sea Silk Sponges 12pack, use like Cotton Balls, Cosmetic Grade, Makeup Application Blending & Removal, Face & Eye Cleaning, Size 9pc x1.5""-2.5"" 3pc x 2.5""-3"" Reuseable Bag",$17.99,$224,81394,1441,4.4,FBA,2,No
B01JINOV5E,"Real Techniques Miracle Complexion Sponge 4 Pack, Makeup Blending Sponges For Liquid & Cream Foundation & Skin Tints, Buildable Coverage, Natural, Dewy Base, Cruelty- Free, Latex-Free Foam",$13.79,"$35,618",331,34585,4.8,FBA,3,No
B08GSTPT8Y,"AOA Studio Collection makeup Sponge Set Latex Free and High-definition Set of 6 makeup Wonder blender For Powder Cream and Liquid, Super Soft Wonder Beauty Cosmetic",$9.95,"$89,816",231,21995,4.8,FBA,4,No
B0BSXT37ZP,"AOA Studio Collection Makeup Sponge Set Makeup Blender Latex Free and High-definition Super Soft Set of 6 Makeup Blender For Powder Cream and Liquid, Beauty Cosmetic Beveled Shape (Pink)",$9.95,"$4,143",7128,945,4.8,FBA,5,No
B094RPMWT6,SHANY Stay Jelly Silicone Sponge Set - Clear & Non-Absorbent Makeup Blending Sponges for Flawless Application with Foundation - Assorted Sizes and Shapes - Pack of 6,$12.16,$86,107852,75,4.3,FBA,6,No
B0GCDPCXX8,"TIESOME 4Pcs Silicone Makeup Sponge Set, Clear Jelly Reusable Blending Foundation Sponge Puff Non-Absorbent Sponge Puff for Foundation, Concealer, Cream, Blush, Highlighter(Drop)",$6.98,$82,130360,0,5,FBA,7,No
B0G4QGX75L,"2Pcs Silicone Makeup Sponge, Clear Jelly Makeup Applicator Non-Absorbent Silicone Washable Cosmetic Applicator for Foundation Concealer Cream Blush Highlighter",$4.29,$151,246094,20,4,FBA,8,No
B0GGYC5BVM,"6 Pcs Silicone Makeup Sponge and 1 Pcs Dual-Ended Face Mask Brush Set – Silicone Makeup Applicator and Beauty Blender, Non-Absorbent, Washable for Daily Makeup Application",$6.99,$15,439256,0,2,FBA,9,No
B094JK3XFZ,SHANY Stay Jelly Silicone Sponge - Clear & Non-Absorbent Makeup Blending Sponge for Flawless Application with Foundation - HOURGLASS,$6.00,$147,86452,85,4,FBA,10,No
