ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GH7J7P8V,"Skate Bearing Cleaning Kit – Portable Complete Bearing Maintenance System with Cleaning Bottle, 200ml Cleaner, 100ml Lubricant Oil, Bearing Press Puller & T Tool for Skateboard & Roller Skates",$39.99,$81,79824,0,2.7,FBA,1,No
B00IOZ02JW,Bones Swiss Skate Speed Cream + Cleaning Unit Kit,$20.44,$188,30548,1189,4.8,FBA,2,No
B0G5PZFL6H,"Willinglong Skate Shoes Bearing Cleaning Bottle Skate Bearings Cleaning Unit Leak Proof Skateboard Tool Kit Cleaner for Roller Skates, Skateboards, Scooters",$9.99,$71,80862,5,5,FBA,3,No
B0009W5L6C,"SONIC Turbo Wash, Complete Skate Bearing Cleaning Kit includes 8 oz Citrus Cleaner, Inline Skates, Roller Skates, Skateboards, Patented, Made in USA",$18.95,$132,50711,562,4.7,FBA,4,No
B00CJVGAK2,Bones Skate Clean and Lube Maintance Package (Without Skateboard Tool),$39.89,$231,66608,439,4.8,FBA,5,No
B0G5Q75ZHQ,"3 Pcs Skate Bearings Cleaning Tool Kit Skateboard Bearing Press Tool Skate Bearing Puller Cleaning Bottle for Installation and Maintenance Roller Skates, Skateboard Scooters",$18.99,$35,145880,2,5,FBA,6,No
B000FDO2K6,Bones Speed Cream Skate Bearing Lubricant,$7.95,"$1,633",4795,4775,4.8,FBA,7,No
B0G5PRMBGK,"Skate Bearings Cleaning Unit Kit with Bearing Puller, Press Tool and Cleaning Plastic Bottle for Skateboard, Roller Skates Maintenance",$15.99,$43,161258,3,3.6,FBA,8,No
B079DZ988S,Bones Skate Bearings Cleaning Unit,$41.95,$57,97095,98,4.5,FBA,9,No
B0D1CGSPSY,Threlaco 3 Pcs All in One Skate Tool Set Multi Function Portable Skateboard Tool with Skateboard Wax and Cleaner 2 in 1 T Type Hex Key and L Type Head Screwdriver for Gift,$12.99,$133,48936,73,4.6,FBA,10,No
