ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F2DP96LY,"Peasur Solar Lights Outdoor Waterproof, 8 Pack Solar Powered Ground Lights Outdoor, IP68 Waterproof, Anti-Rust, Solar Garden Lights Landscape Lighting for Pathway Yard Lawn Walkway Driveway,Cool White",$26.99,"$5,252",1502,1370,4.5,FBA,1,No
B086GKPHKP,"GIGALUMI 8 Pack Solar Pathway Lights, Solar Garden Lights Outdoor Warm White, Waterproof Led Path Lights for Yard, Patio, Landscape, Walkway (Brown)",$44.99,"$1,038",10726,2983,4.5,FBA,2,No
B09W9H1V63,DenicMic Solar Lights Outdoor 10 Pack Waterproof 6000K Cold White LED Stainless Steel Stake Outside Lights for Yard Pathway Garden Driveway Walkway Landscape Path Lighting,$20.89,"$16,578",407,8409,4.5,FBA,3,No
B0DNYSRNMC,"Joomer Solar Ground Lights, 16 Pack 8 LED Solar Lights Outdoor IP68 Waterproof Disc Light In-Ground Landscape Lighting Outdoor for Patio Pathway Lawn Yard Driveway Walkway (Warm White)",$33.97,"$1,231",1744,5492,4.3,FBA,4,No
B0CGX2YP5Y,"GIGALUMI 12 Pack Solar Lights Outdoor Waterproof, Outdoor Solar Lights for Yard, Solar Garden Lights, Yard Decorations Outdoor for Pathway, Patio, Garden, Driveway, Lawn, and Landscape(Cold White)",$32.29,"$1,988",4890,1609,4.3,FBA,5,No
B0DS61QGXS,"Eyrosa Solar Lights Outdoor, 12 Pack Waterproof Solar Landscape Lighting for Pathway Garden Yard Path Walkway Driveway Lawn Patio Outside Decor, Warm White",$31.98,"$5,236",427,750,4.5,FBA,6,No
B0DR2GFLRS,"DERAYSION 12 Pack Solar Lights Outdoor, Solar Pathway Lights Auto On/Off Waterproof Garden Landscape Lighting for Path, Yard, Walkway, Driveway Decor",$31.99,"$7,675",609,1411,4.4,FBA,7,No
B01K1SETD4,"GIGALUMI Solar Lights Outdoor Waterproof, 12 Pack, Stainless Steel LED Solar Garden Lights for Patio, Lawn, Yard and Landscape, Cold White",$19.99,"$8,809",598,22366,4,FBA,8,No
B09W1WL9T8,"Eyrosa Solar Outdoor Lights, 10 Pack Waterproof Stainless Steel Solar Stake Lights for Pathway Garden Yard Path Walkway Driveway Lawn Patio Outside Decor, Cool White",$20.99,"$10,184",465,8214,4.5,FBA,9,No
B09XRB69NV,"Aliotech 6Pcs 8.25 Inch Reinforced Ground Spikes, Solar Lights Spikes, ABS Plastic Lights Replacement Stakes, Ideal for Solar Pathway Lights Garden Lights Torch Lights(Inside Diameter 0.83 Inches)",$8.99,"$1,108",10793,687,4.2,FBA,10,No
