ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CBPQ2XWM,"GAN 356 ME, Speed Cube 3x3 Magnetic Puzzle Toy with 48 Magnets GES Pro+ Customized 12 Tension Settings, Ideal for Children Kids Adults, GAN 356 M Upgraded Version, Frosted Version",$25.99,"$1,779",3993,873,4.7,FBA,1,No
B086PNKX2P,"GAN 356 M, Speed Cube 3x3 Magnetic Speedcube Stickerless 356M Fidget Toys for Kids Adults, No Extra GES",$26.99,"$6,819",679,12486,4.8,FBA,2,No
B0CC84F9KT,CFMOUR Magnetic Speed Cube 3x3 - Moyu Meilong 3M Stickerless Magic Cubes with Stand - Fast Smooth Problem-Solving Brain Teaser Puzzle Toy for Kids & Adults,$9.99,"$2,688",2098,94,4.5,FBA,3,No
B0F2MJG9FV,"GAN 356 i Carry E, Smart Speed Cube 3x3 Magnetic Connected Electronic Bluetooth Speedcube for Kids Adults Timer Tracking Movement Steps with App Online Competition, Battery Replaceable Frosted Version",$23.39,$410,16821,103,4.3,FBA,4,No
B08KS3S28R,"GAN 11 M Pro, 3x3 Magnetic Speed Cube, Magic Puzzle Cube Toy Stickerless Cube Frosted Surface (Black Internal)",$39.99,$436,19729,1455,4.8,FBA,5,No
B0CL4RL4QY,Magnetic Speed Cube 3x3 Stickerless - Professional Competition Cube with 24 Strong Magnets | 55°/35° Corner Cutting | Smooth & Fast for Adults & Kids for Speedcubers (No Logo),$19.99,"$5,155",876,608,4.4,FBA,6,No
B0CSYGLWN5,"Rubik’s Cube, 3x3 Magnetic Speed Cube for Super Fast Solves, Twisting Fidget Toy, Challenging Brain Teaser & Sensory Puzzle for Adults, Teens, & Kids, for Ages 8 & Up",$14.99,"$5,748",382,560,4.8,FBA,7,No
B0GGYZ9HZR,VIN 3x3 Speed Cube | Magnetic Puzzle Cube with CFRS Centrifugal Adjustment | Purple Titanium Magnets | Smooth Stickerless UV Coated Cube for Professional Speedcubing & Competition,$44.99,$8,271967,0,4.3,FBA,8,No
B0GNC8Y7N8,"GAN i Carry 4 SSL Limited, Smart 3x3 Bluetooth Speed Cube Magnetic Connected Starsky Inner Shell Speedcube for Kids Tracking Movement Steps with App Online Competition, Battery Replaceable UV Coated",$39.99,$10,154116,0,,FBA,9,No
B0GCJX5H3F,"GAN V100 Leap Year of The Horse Edition, Speed Cube 3x3 Magnetic Speedcube Brain Teaser Puzzle Fidget Toy for Kids Adults, GAN 356 M Upgraded Version",$29.99,$67,88115,13,4.6,FBA,10,No
