ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CRDHNXB4,"RCHYFEED Spice Rack Organizer for Cabinet Pantry,4 Tier Spice Rack Countertop, Depth Adjustable Spice Organization for Cabinet,Tierd Seasoning Organizer for Cabinet(Black, 1Pack) | for Cabinet Pantry, Easy Visibility, Tierd Depth, Expandable",$25.99,$187,51364,202,4.3,FBA,1,No
B09TT5DX8S,"SWOMMOLY Spice Rack Organizer with 32 Glass Spice Jars, 396 Spice Labels, Chalk Marker and Funnel Complete Set, for Cabinet, Countertop, Cupboard or Wall Mount, Black",$29.77,$202,44626,7970,4.8,FBA,2,No
B0BR1QWZ2V,"Amazon Basics Lazy Susan Turntable Organizer for Spices and Condiments, 9"" Diameter, 2 Tier, Clear",$11.82,"$2,475",1775,2184,4.8,FBA,3,No
B07R4H5J2C,Spice Rack Kitchen Cabinet Organizer- 3 Tier Bamboo Expandable Display Shelf Yellow,$20.99,"$5,980",1129,7960,4.7,FBA,4,No
B0GK18YLP3,"3-Tier Spice Rack Organizer, 13""-21.5"" Expandable Spice Organization Shelf, Metal Seasoning Organizer for Kitchen Countertop or Pantry, Slip-Resistant Design for Jars and Bottles, Black",$28.99,$208,29515,20,4.7,FBA,5,No
B0CSFM5X73,"Pull Out Spice Rack Organizer for Cabinet, 3 Packs Slide Out Spice Racks Organizer, Spice Cabinet Organizers, Cabinet Size Need:12'' Highx11'' Deepx5'' Wide,Each Tier Hold 10 Spice Jar - 2 Tier, Black",$28.49,"$5,145",1998,2967,4.5,FBA,6,No
B0G2BRD5QV,"RCHYFEED 2 Pack 4 Tier Adjustable Spice Rack Organizer, Foldable Chrome Vertical Spice Organizer for Cabinet & Countertop, Space Saving Storage Shelf for Kitchen Pantry Bathroom",$49.99,$24,107191,0,4.8,FBA,7,No
B095W7GGBX,"SpaceAid Spice Rack Organizer with 28 Spice Jars, 386 Spice Labels, Chalk Marker and Funnel Set for Cabinet, Countertop, Pantry, Cupboard or Door & Wall Mount - 28 Jars, 13.4"" W × 10.8"" H, Black",$29.99,"$5,523",1589,9672,4.8,FBA,8,No
B0FN415QMQ,"3-Tier Spice Rack Organizer for Kitchen Cabinet or Pantry, 16""-29"" Expandable Spice Organization Shelf, Seasoning Organizer, Metal Display Shelf, Slip-Resistant Design for Jars and Bottles, Black",$29.97,"$1,971",4520,294,4.5,FBA,9,No
B082JFN6ZP,"Copco Grey 2 Non-Skid 3-Tier Spice Rack Organizer for Pantry, 2-Pack, 10-Inch",$11.68,$558,8126,5802,4.7,FBA,10,No
