ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GLNHK5L3,"Mitclear 77'' Professional Squeegee Window Cleaner Tool with Extension Pole, Car Windshield Cleaning Kit with Long Handle, Window Washing Equipment for Indoor Outdoor Windows & Car Glass",$23.89,"$1,488",25123,67,4.5,FBA,1,No
B0GXVMZZWZ,"Window Screen Cleaning Brush, 2 in 1 Window Screen Cleaner Tool with Squeegee, Mesh Screen Cleaner, Multi-Purpose Cleaning Brush for Patio, Door, Porch Screens (Beige)",$12.88,$41,181274,0,5,FBA,2,No
B0FKH6C9NC,"3 in 1 Window Cleaning Scraper, Cleaner Window Squeegee with Sprayer, Squeegee and Scrubber Spray Bottle Window Squeegee for Shower Glass, Mirrors, Car and Home,All-Purpose Window Cleaner Tool (Blue)",$11.88,$109,131614,56,3.6,FBA,3,No
B0BKTM56C3,"DSV Standard Window Squeegee, 2-in-1 Window Cleaner with 55"" Extension Poles, Window Washing Kit, Glass Door Cleaner, Multi-Use Car Windshield Cleaning Tool with Long Handle for High Outdoor Windows",$15.99,"$10,306",4470,3013,4.4,FBA,4,No
B08R7C5RJZ,"ITTAR Window Squeegee Cleaning Kit with 60 Inch Extension Pole | 12"" Glass Cleaner Tool rubber Blade & 2 Microfiber Pads | Window Washing Equipment for High Windows, Shower Glass Doors, Car Windshield",$22.79,$540,59257,3244,4.3,FBA,5,No
B0B9MG8K7S,"VITEVER Professional 69'' Window Squeegee Cleaner Tool with Extension Pole, 2-in-1 Squeegee for Window Cleaning Kit with Scrubber and Rotating Head, 1 Blade 2 Scrubber",$22.99,"$2,988",17068,1979,4.3,FBA,6,No
B01C6KUNZI,"MR.SIGA Professional Window Cleaning Combo - Squeegee & Microfiber Window Scrubber, 14""",$19.99,"$7,628",6222,26008,4.4,FBA,7,No
B0CDBVC1W7,"Professional Window Squeegee,2 in 1 Squeegee Window Cleaner with Long Stainless Steel Handle,Sponge Car Window Squeegee for Gas Station, Glass,Shower (Sponge Style)",$16.88,"$10,199",4209,1355,4.4,FBA,8,No
B0CT2PL3CN,"Mitclear Window Cleaner with Long Handle(57IN), Glass Cleaning Tools with Silicone Squeegee & Microfiber Scrubber, Window Cleaning Kit for Shower Glass Mirror Door Car",$16.89,$887,41809,3979,4.2,FBA,9,No
B06VXLQ31Z,"MR.SIGA Professional Window Cleaning Combo - Squeegee & Microfiber Window Scrubber, 10""",$17.99,"$7,628",6084,26008,4.4,FBA,10,No
