ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CKKN5NFB,STANLEY,$10.00,$423,126109,799,4.7,FBA,1,No
B0DWXB4TWM,"Replacement Lid for Stanley Quencher H2.0&1.0 30oz Tumblers，Leak-Proof Threaded Cover with Straw-Friendly Design, BPA-Free Transparent Lid Compatible with Stanley FlowState 30 oz (1 Pack)",$9.99,$103,80546,85,4.1,FBA,2,No
B0DWXGCPN5,"30 oz Replacement Lid for Stanley Cup, Replacement Lid for 30oz Stanley Quencher H2.0 FlowState Tumber, Reusable Dustproof Tumblers Cover(1 Pack)",$9.99,$60,94961,65,4.1,FBA,3,No
B0FH6RY627,"30 oz stanley lid replacement, for Stanley H2.0 Quencher Cup Accessories,stanley cup lid replacement 30 oz,tumbler lid replacement 2pack (Black, 30oz)",$9.99,$50,65142,17,4.2,FBA,4,No
B0D7425DCM,"Personalized Stanley Cup Name Plate for Lids, Sparkling Name Tag for Stanley Tumbler 40 30 20 OZ, Custom Name Stanley Cup Accessories, Customize Gilttering Name Tag for Stanley Quencher H2.0",$6.95,$542,17371,857,4.4,FBA,5,No
B0DQV1J18S,"2 Pack 30 oz Tumbler Flip Straw Lid Replacement Compatible for Stanley Quencher, Leak Proof Lid Replacement for 30 OZ Stanley H2.0 FlowState Tumbler,Spill Proof Splash Reusable (Black)",$9.99,"$1,063",16951,436,4.2,FBA,6,No
B0DQTYLQNB,"2 Pack 30 oz Tumbler Flip Straw Lid Replacement Compatible for Stanley Quencher, Leak Proof Lid Replacement for 30 OZ Stanley H2.0 FlowState Tumbler,Spill Proof Splash Reusable (White)",$9.99,"$1,036",10041,436,4.2,FBA,7,No
B0DGQP2CWZ,"Replacement 30oz Tumbler Lid - Fit For Stanley 20oz, 30oz Adventure Quencher 2.0 Tumbler (Green)",$9.99,$29,283662,13,5,FBA,8,No
B0CK9PT53B,STANLEY,$35.00,"$113,449",2,92486,4.7,FBA,9,No
B0DY7GHKNB,"20/30 oz Stronghold Tumbler Lid Replacement/Compatible with Stanley Quencher,Spill Proof &Leak-Proof Tumbler Cover for Stanley Cup Accessories",$9.99,$970,10437,139,4.6,FBA,10,No
