ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CQ2RMMFN,"Momcozy 8000mAh Portable Stroller Fan | 27H Ultra-long Battery Life | Detachable 4 Speed 360°Rotate | 2 Modes LED Night Light, USB Rechargeable Handheld Cooling Fan for Travel, Car Seat, Bedroom",$27.99,"$24,937",89,4218,4.6,FBA,1,No
B0B4J9HMHD,"AMACOOL Baby Stroller Fan - 5000mAh Rechargeable, 3-Speed, Strong Yet Quiet, 360°Rotate Portable Clip on Fan for Travel, Car Seat, Crib, Bike, Treadmill, Beach Vacation Essentials",$25.99,$356,8947,792,4.4,FBA,2,No
B0BKQ7MY3L,"Gaiatop Portable Clip on Fan Battery Operated, Small Powerful 3 Speed Quiet 360° Rotate, USB Rechargeable Mini Personal Cooling Fan for Desk Table Home Office Stroller Camping Women Gifts Black Blue",$12.99,"$16,359",787,10704,4.6,FBA,3,No
B0G9LMFY1D,"Portable Clip on Fan, Rechargeable Stroller Fan, USB Desk Fans With TYPE-C Port 5200 mAh Battery Operated 3 Speed 360° Rotatable Personal Small Mini Table Fan for Pram Car Seat Crib Golf Cart Camping",$17.09,$166,15809,399,4.4,FBA,4,No
B0GF1SV1MZ,"KIMMOO 4000mAh Rechargeable Portable Clip on Fan-100-Speed Touch Control, LED Display, 360° Rotate Quiet Turbo Desk Fan, Small Battery Operated USB Fan for Stroller Bed Travel Camping Golf Gym (Black)",$22.79,"$1,394",13597,62,4.3,FBA,5,No
B08866RDYK,"Koonie 10000mAh Clip on Fan Rechargeable, 8-Inch Battery Operated Desk Fan, USB Fan, 4 Speeds, Strong Airflow, Sturdy Clamp for Golf Cart Office Desk Outdoor Travel Camping Tent Gym Treadmill,Black",$39.99,"$7,650",3008,16993,4.6,FBA,6,No
B0CRRTGKZF,liuliuby Baby Stroller Fan with Clip | Clip On Fan for Baby Car Seat | Portable & Rechargeable with Durable Clamp | Stroller Accessories | Small Cooling USB Chargeable Battery (Jet Black),$24.99,$963,4400,275,4.4,FBA,7,No
B0BKQDPP1Z,"Gaiatop Mini Portable Stroller Fan, Battery Operated Small Clip on, Detachable 3 Speed Rechargeable, 360° Rotate Flexible Tripod Better Cooling for Car Seat Crib Treadmill Travel Black",$15.99,"$75,615",24,18211,4.6,FBA,8,No
B08C74XV6S,"Koonie 10000mAh Rechargeable Portable 8-Inch Clip-on Fan, USB Car Fan 4 Speeds, Sturdy Clamp for Office Desk, Golf Cart, Stroller, Outdoor, Travel, Camping, Tent, Gym, Treadmill",$39.99,"$7,650",2773,16993,4.6,FBA,9,No
B0BRPVN877,"Korbot 8-inch Clip on Fan - 12000mAh Portable Fan Battery Rechargeable with 3 Speeds and Strong Airflow, USB Fan Small Desk Fan Personal Quiet Fan for Office, Stroller, Bedroom, Camping, Gifts for Men",$29.97,"$1,442",29265,1933,4.5,FBA,10,No
