ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09CVCZD1W,"Zircon MultiScanner A200 – Electronic Wall Scanner Stud Finder & Metal Detector with Live AC Wire Detection, SpotLite Pointer, ACT Auto-Correcting Technology",$49.99,"$1,418",9558,744,4.3,FBA,1,No
B0917VXLDK,"Franklin Sensors Prosensor M210 Stud Finder With 13-Sensors, Wood & Metal Stud Detector/Wall Scanner, Live Wire Detection, Made in the USA",$59.97,"$15,234",317,5786,4.6,FBA,2,No
B0FXX5XQYJ,"Stud Finder Wall Scanner - 5 in 1 Stud Finder Tool w/Smart Chip and HD LCD Display, Stud Detector Beam Finders for the Center and Edge of Wood AC Wire Metal Studs Joist Pipe (‎Silver Plate)",$21.99,"$14,111",174,9833,4.3,FBA,3,No
B09CV9TZWW,Zircon StudSensor A100 Stud Finder and Wall Scanner – Edge Locating Stud Detector with WireWarning AC Detection – Easy-to-Read Display and Ergonomic Grip for Home and Professional Use,$34.60,"$1,408",12587,821,4.4,FBA,4,No
B0DBQBWCFT,"PREXISO 2-in-1 Stud Finder with Laser Level, Rechargeable Multi Surface Cross Line Laser & Wall Stud Scanners Tool for Hanging Frames & Picture, Wood Ac Wire Metal Studs Joist Pipe Detection",$49.99,"$5,596",1510,727,4.3,FBA,5,No
B0GD1815SK,"Stud Finder Wall Scanner - 5 in 1 Stud Finder Tool w/Smart Chip and HD LCD Display, Stud Detector Beam Finders for the Center and Edge of Wood AC Wire Metal Studs Joist Pipe (Orange Juice)",$22.99,"$14,111",207,9833,4.3,FBA,6,No
B0917TH83L,"Franklin Sensors ProSensor M150/X990 Stud Finder with Live Wire Detection and 9-Sensors, Wood & Metal Stud Detector/Wall Scanner, Made in The USA",$39.97,"$6,916",1270,3948,4.6,FBA,7,No
B0D1GD58LZ,"Stud Finder Wall Scanner, 5 in 1 Stud Detector with HD LCD Display for Center and Edge of Wood Metal AC Wire",$17.99,"$1,040",16852,163,4.2,FBA,8,No
B0B39NFQWK,Stud Finder Wall Scanner Detector - 5 in 1 Electronic Wall Wood Metal Stud Locator Edge Center Sensor Beam for Live AC Wire Pipe Metal Lumber Joist Drywall Framing Detection,$23.99,"$1,750",5502,4008,4.3,FBA,9,No
B0DFS2MVMP,"Franklin Sensors ProSensor M210 Stud Finder with 13-Sensors, Wood & Metal Stud Detector/Wall Scanner, Live Wire Detection (Green), Made in The USA",$59.97,"$15,234",315,5773,4.6,FBA,10,No
