ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07DXFGXH3,"A-SUB Sublimation Paper 8.5x14 Inch 120GSM, 110 Sheets - Compatible with Inkjet Printers & Sublimation Inks, High Transfer Efficiency for T-Shirts, Mugs, Crafts",$21.99,"$1,143",9122,14373,4.8,FBA,1,No
B0DYWG3MPZ,"Sawgrass TruePix Sublimation Paper - 8.5 x 11 Inches, 100 Sheets, Heat Transfer Paper for SG500 & SG1000 Sublimation Printers - Works on Hard & Soft Substrates - Vivid Colors",$21.99,$256,30476,75,4.5,FBA,2,No
B06XSB4M8J,A-SUB Sublimation Paper 8.5x11 Inch 110 Sheets ONLY Compatible with Sublimation Printer and Sublimation Ink 125g,$19.99,"$14,098",211,53511,4.8,FBA,3,No
B098JSVK56,A-SUB Sublimation Paper 8.3x11.7 Inch for DIY Unique Christmas Gifts Compatible with Inkjet Printer which Match Sublimation Ink 100 Sheets A4,$12.99,"$1,468",4346,4974,4.8,FBA,4,No
B074FXL9KD,A-SUB Sublimation Paper 8.5x14 Inches 110 Sheets ONLY Compatible with Sublimation Printer and Sublimation Ink 125g,$22.99,"$14,098",210,53511,4.8,FBA,5,No
B09J19DGCH,"PYD Life Sublimation Heat Transfer Paper 8.2 x 11.5 Inch A4 Size,100 Sheets,for Sublimation Blanks Mugs Tumblers Water Bottles T-shirt Bags Use Sublimation Ink 125 g",$16.99,$37,77392,136,4.6,FBA,6,No
B0FMFCMT2F,Sublimation Paper Compatible with Brother EPSON SAWGRASS RICOH Sublimation Printer (A4 210x297mm 100 Sheets 100gsm),$8.99,$20,260727,9,4,FBA,7,No
B08YWBF3NG,HTVRONT Sublimation Paper 8.5 x 11 inches - 150 Sheets Sublimation Paper Compatible with Inkjet Printer 120gsm,$16.99,"$5,122",1066,9288,4.8,FBA,8,No
B0DXXC6GQF,"Cricut Sublimation Paper - 100 Sheets (8.5"" x 11"") - Letter Size - Compatible with Sublimation Printer and Sublimation Ink (120gsm)",$10.39,"$1,587",4707,474,4.7,FBA,9,No
B094QPF6X8,"PYD Life Sublimation Blank Paper A4 Size,100 Sheets,Heat Transfer Paper for Sublimation Blanks T-shirt Tote Bag 105 g",$10.82,$50,142631,19,4,FBA,10,No
