ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DH7SMSBJ,[2 Pack] Surf Scraper Wax Remover Tool - Quick & Effective Wax Removal For Surfboards - Ergonomically Designed To Fit Comfortably In Your Hand - Remove Board Wax in Minutes - Works On Dings & Dents,$16.99,$134,49898,35,4.4,FBA,1,No
B0F34VS852,"K. Honu Surf Wax Scraper, Wax Remover, Surf Wax Comb, Multi Tool, The Jelly Surfboard Wax Scraper with Wax Storage, Keeps Wax Fresh and Clean, Recycled Plastic, Wax Comb, Wax Puck Storage, Ergonomic",$19.95,$52,143252,20,4.7,FBA,2,No
B0G5YCGQY9,"22 Pcs Surfboard Maintenance Kit: 2 Black Surf Wax Combs with 2 Hex Wrenches and 18 Silver Screws, Accessories for Board Waxing & Hardware Installation",$12.99,$4,144452,0,,FBA,3,No
B0F1FM7BV4,Surfboard Wax Comb Bamboo Surfboard Wax Scraper Surfboard Wax Removal Tool Surf Wax Comb with Hole Surfboard Accessories for Surfing Board Men Women Surfer Gift Ocean Wave Pattern,$6.99,$66,225340,26,4.3,FBA,4,No
B0DK3R5LX6,"2Pcs Surfboard Scraper, 2 in 1 Surfboard Wax Comb with Fin Key, PVC Black Surfboard Surfing Wax Comb for Skimboard, Surfboard Surfing Maintenance, 3 x 1.6in",$7.99,$73,75478,6,4.2,FBA,5,No
B0G6CQNSM2,2 Pack Surfboard Wax Comb Scraper 2 in 1 Surf Wax Remover Surf Board Tool with Hanging Hole for Removal Texturing Skimboard Skateboard Longboard Surfing Maintenance 3.1 x 1.6 in,$9.99,$80,107048,3,3.9,FBA,6,No
B0923KY76Y,Surfboard Wax Comb - Bamboo Surfboard Wax Scraper & Surf Wax Remover - Surfer Gift,$7.75,$27,184255,71,4.6,FBA,7,No
B0GC53SJZ3,"Surfboard Fin Multi-Tool Wax Comb Kit, Includes Fin Key, Bottle Opener, Scraper and Leash String, Stainless Steel Grab Screws Compatible with FCS, Futures, Longboard and SUP",$7.00,$45,140885,6,5,FBA,8,No
B096YL2FYL,"Wax Buddy Wax Comb-The Original, SageGreenIII 100 Recycled Plastic, 3-in-1 surf Tool: Scraper, Comb, Cupped Rail Cleaner., Sage Green, Black, White, Light Blue",$11.99,$11,406387,32,4.9,FBA,9,No
B08T6JVH4W,"Surfboard Scraper Surf Wax Comb, 2pcs/Set Surfboard Wax Applicator, Surf Wax Remover Comb and Scraper, PVC for Surfing Board Skateboard",$8.59,$28,114866,38,4.6,FBA,10,No
