ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0BY59397X,"SHIZAM Taurine 1000mg Caffeine 150mg Energy Gummies w D-3 B-12 B Complex Inositol, Gel Gels Vitamins Vitamin Drinks Capsules Drink Shot Chews Pills Powder Alt, Running Runners Supplement Supplements",$22.85,$41,177780,126,3.5,FBA,1,No
B0DWWVJW77,"Creatine Monohydrate Gummies for Men & Women with L-Carnitine & Taurine – Pre-Workout Supplement for Muscle Strength, Energy Boost – Sugar Free, Vegan, Berry Flavor, Chewable Gummy 120 Count",$22.79,"$1,418",25831,125,4.6,FBA,2,No
B0FQJ7N5B5,"2Pack TMG Gummies 1000mg Betaine Anhydrous + Methylated Multivitamin & B Complex Methylated(Methylfolate B12 B6), Magnesium, Taurine - Essential Trimethylglycine for Homocysteine Levels, Brain, Energy",$37.99,$160,86466,46,4.6,FBA,3,No
B01CUYHCX6,"Nutricost Taurine 1000mg, 400 Capsules",$19.95,"$9,544",5095,7880,4.6,FBA,4,No
B0CP54YRJD,"lipmaxmall Liposomal Taurine Supplement 1000mg, High Absorption Amino Acid for Heart, Nerve, Brain, Visual (60 Softgels - 1 Pack)",$21.99,$578,52616,366,4.6,FBA,5,No
B0BV4F17B4,"OLLY Extra Strength Daily Energy Gummy, Caffeine Free Cellular Energy Production,* 1000 mcg Vitamin B12, CoQ10, Goji Berry, Adult Chewable Supplement, Berry Yuzu Flavored, 30 Day Supply - 60 Count",,"$22,596",1761,2639,4.4,FBA,6,No
B0D87LZF99,"NatureBell Taurine 1,000mg Per Serving, 500 Capsules | Essential Amino Acids Supplement – Double Strength – Antioxidant Support for Heart, Muscle, Brain, & Liver Health – Non-GMO, Gluten Free",$9.99,$731,25850,313,4.6,FBA,7,No
B0DG22FF4N,"Vitamatic Pure Taurine 1000mg 250 Servings - Non-GMO, Gluten Free",$9.99,$302,73258,80,4.7,FBA,8,No
B0CP9JCC2H,"lipmaxmall Liposomal Taurine Supplement 1000mg, High Absorption Amino Acid for Heart, Nerve, Brain, Visual (60 Softgels - 2 Pack)",$34.99,$578,53895,366,4.6,FBA,9,No
B01IQCE0NG,"Life Extension Taurine, Pure Taurine Amino Acid Supplement, Heart, Liver and Brain Health, Longevity, Muscle and Exercise, 1000 mg, Non-GMO, Gluten-Free, Vegetarian, 180 Vegetarian Capsules",$17.50,$209,90678,5,4.7,FBA,10,No
