ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B076F2JKYC,"SNOOZ Smart White Noise Machine - Real Fan Inside for Non-Looping Sound, Portable Sleep Aid for Adults, Dogs, Travel, Home, Bedroom, Sleeping, Office Privacy, Therapy, & Baby Registry Essential- Cloud",$99.99,"$3,721",12101,7373,4.6,FBA,1,No
B07RV7YDG6,Magicteam Sleep Sound White Noise Machine with 40 Natural Soothing Sounds and Memory Function 32 Levels of Volume Powered by AC or USB and Sleep Timer Sound Therapy for Baby Kids Adults (B-White),$24.30,"$3,340",16021,11801,4.5,FBA,2,No
B0DZXCKRGB,Sound Machine Mini White Noise Machine with 30 Soothing Sounds 4 Timers Memory Function for Newborn Baby Kids Adults Portable Rechargeable Sleep Brown Noise Machine for Travel Camping Home Office,$14.24,"$9,086",6019,2865,4.7,FBA,3,No
B0CQ71ZTZV,"Wall Plug in White Noise Sound Machine for Office Privacy & Noise Canceling, White Noise Machine for Sleeping Adults & Baby, Therapy Noise Blocker with 20 Soothing Sounds & Nightlight by Calm Me.",$39.99,"$5,365",11131,913,4.7,FBA,4,No
B0F7XSWSFD,Soothing Sounds White Noise Machine Portable Sleep Machines with 30 Relaxing Sounds 12 Color Options 5 Adjustable Brightness 32 Volume Levels 4 Timer for Baby and Adult Perfect for Home Travel Office,$16.99,"$1,141",18833,320,4.8,FBA,5,No
B07RWRJ4XW,Magicteam Sound White Noise Machine with 20 Non Looping Natural Soothing Sounds and Memory Function 32 Levels of Volume Powered by AC or USB and Sleep Sound Timer Therapy for Baby Kids Adults,$20.89,"$29,197",1079,67955,4.5,FBA,6,No
B0865VQMH8,"Housbay White Noise Machine with 31 Soothing Sounds, 5W Loud Stereo Sound, Auto-Off Timer, Adjustable Volume, Sleep Sound Machine for Baby, Kid, Adult -Wood Grain",$27.99,"$5,537",7247,18826,4.6,FBA,7,No
B0CCV845B7,Sound Machine Night Light White Noise Brown Noise Machine 30 Non Looping Sounds 12 Lights 5 Timers 36 Adjustable Volume Memory Function Sleep Sounds Machine for Baby Kids Adult & Home Office Travel,$17.99,"$9,001",6079,2677,4.6,FBA,8,No
B087CPCVK9,Sound Machine Easysleep White Noise Machine with 25 Soothing Sounds and Night Lights with Memory Function 32 Levels of Volume and 5 Sleep Timer Powered by AC or USB for Sleeping Relaxation (White),$17.98,"$9,979",5632,17206,4.6,FBA,9,No
B0BB74JTQY,Sound Machine Loud White Noise Machine Nonstop Brown Noise Sleep Machine 30 Soothing Sounds for Baby Kids Adults Pink Noise Sounds Machine 36-Level Vol 4 Timer Memory Function for Home Travel Office,$17.99,"$4,443",11642,3358,4.6,FBA,10,No
