ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0G4LZ9748,"Formulation Factory Self Obsessed Shilajit Gummies for Men, Tongkat Ali + Fadogia Agrestis Supplement, Energy, Strength, Drive & Vitality Support, Natural Masculinity Formula, 60 Count (Pack of 1)",$29.99,"$4,693",9424,21,4.3,FBA,1,No
B0DCN9P149,"Testosterone Gummies for Men - Supports Energy, Stamina & Vitality - Tongkat Ali, Horny Goat Weed, Maca, Ashwagandha, Fenugreek, Tribulus - Vegan, Gluten-Free - 30 Day Supply, 60 Count",$21.99,$45,169236,38,3.6,FBA,2,No
B0DPDXWF22,"Testosterone Booster for Men Gummies [Fast-Max Absorption] Masculinity Boost, Turkesterone, Tongkat Ali, Horny Goat Weed, Maca Root, Tribulus,Testo Gummies 60Ct",$27.90,$994,28758,38,4.8,FBA,3,No
B09W1R4JJ9,"Force Factor Test X180 Gummies Testosterone Booster for Men with Tongkat Ali, Horny Goat Weed, Tribulus Terrestris, Fenugreek, & Black Maca, Testosterone Supplement for Men, Berry Punch, 60 Gummies",$19.49,"$7,457",7666,4853,4,FBA,4,No
B0FWBVBC7F,"Prime Labs Prime Test Testosterone Booster Gummies for Men - Tongkat Ali, Horny Goat Weed, Saw Palmetto, Boron & Vitamin D3 - Non-GMO, 3rd Party Tested - 60 Count",$19.99,$2,207348,0,,FBA,5,No
B0F3W6LQS3,"Lunakai USA Made Natural Testosterone Booster for Men with Tongkat Ali, Ashwagandha & Shilajit - Testosterone Supplement for Strength, Energy & Stamina, 60ct",$27.95,"$1,244",27251,435,4.3,FBA,6,No
B0D73YQJ8Z,"Force Factor Longjack Tongkat Ali Gummies, Tongkat Ali for Men to Support Male Vitality and Drive, 400mg Tongkat Ali with BioPerine, Mixed Berry Lemonade, 90 Gummies",$24.99,$975,35369,60,3.9,FBA,7,No
B0F2JMKQFM,"Testosterone Booster for Men, 700mg Tongkat Ali 200:1 with Fadogia Agrestis - 8-in-1 Natural T-Support with Ashwagandha, Tribulus & Ajuga Turkestanica - Energy, Strength & Recovery - 60 Capsules",$19.99,"$3,892",15606,714,4.3,FBA,8,No
B0DQVRW3T6,"Peak Potential 12-in-1 Testosterone Support for Men – Fenugreek, Ashwagandha & L-Citrulline – Natural Strength, Energy & Muscle Builder – 90 Capsules",$41.98,"$6,096",7429,462,4.6,FBA,9,No
B0D3HSMPL2,"VitaUp Tongkat Ali 20 in 1 - USA Made Advanced Complex with Tongkat Ali, Black Maca Root, Zinc, Vitamin B12, Astragalus for Normal Energy Support - 90 Vegan Caps",$27.91,$797,61827,383,4.3,FBA,10,No
