ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GYS12DR9,"Foot Rest for Under Desk at Work - Ergonomic Under Desk Footrest for Office, Adjustable Foot Stool Desks Footrests with Roller Massager - Leg Support Rest for Office Chair & Gaming Home",$23.99,$247,16817,16,4.9,FBA,1,No
B07L3RVF7C,"HUANUO Adjustable Desk Footrest, Foot Rest for Under Desk at Work with Massage, Adjustable Foot Stool with 3 Height Position & 30 Degree Tilt Angle Adjustment for Home, Office",$29.99,"$3,320",2022,13102,4.2,FBA,2,No
B08DHMMBFF,"ComfiLife Foot Rest for Under Desk at Work – Adjustable Height Memory Foam Foot Stool for Under Desk, Office Chair & Gaming Chair – Ergonomic Footrest for Back & Hip Pain Relief (Black)",$34.19,"$4,026",1055,13912,4.6,FBA,3,No
B0G8W4BBDN,"Bamboo Foot Rest for Under Desk at Work, Adjustable Foot Stool, 2-in-1 Reversible Rocking Footrest, Static Leg Rest, 16in Wide Surface, Non-Slip Breathable Pad, Home Office Ergonomic Support at Work",$39.95,$32,87796,21,4.7,FBA,4,No
B0FP1H249F,"Foot Rest Under Desk with Massage Texture and Roller, Ergonomic Foot Stool with 2 Height Position, Adjustable Foot Rest for Under Desk at Work, Black",$31.99,$274,37564,23,4.8,FBA,5,No
B01MSQDE0U,"Mind Reader Foot Rest, Under Desk at Work, Ergonomic, Height Adjustable, Office, Plastic, 17""L x 13""W x 6.25""H, Black",$26.99,"$1,431",6572,18748,4.2,FBA,6,No
B07KFWNVTT,"Mind Reader Foot Rest, Under Desk at Work, Ergonomic, Height Adjustable, Office, Plastic, Black",$24.99,$543,16304,2506,4.2,FBA,7,No
B09QKW7V55,"Scalebeard Under Desk Footrest, Ergonomic Foot Stool with Massage Rollers Max-Load 120Lbs Desk Leg Rest Pain Relief for Home Office Work",$24.99,"$1,069",7771,1105,4.5,FBA,8,No
B07N1QCJGZ,"StrongTek Ergonomic Wood Foot Rest for Enhanced Circulation & Comfort, 350lbs Capacity, Rocker Balance Board for Standing Desks, Non-Slip, No Assembly, 18"" Wide - Ideal for Office/Home",$39.99,"$1,276",7702,3108,4.7,FBA,9,No
B0CHBQ55QY,"Mount-It! Ergonomic Footrest, Tilt Adjustable Individual Platforms, Height Adjustable Foot Rest with Massage Surface, Under Desk Foot Stool for Office, Leg Support and Improved Posture, Black",$41.99,$122,58692,111,4.2,FBA,10,No
