ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07C8836PN,"ErgoFoam Ergonomic Foot Rest Under Desk | Premium Velvet Soft Foam Footrest for Desk | Most Comfortable Desk Foot Rest in The World for Lumbar, Back, Knee Pain | Foot Stool Rocker (Black)",$42.67,$77,76923,6573,4.6,FBA,1,No
B0DGST46G3,"Foot Rest Under Desk Ergonomic - 6 Height Adjustable, Manual Massage Rollers, Premium Vinyl Cover & Sturdy Plastic Frame for Home Office & Gaming",$29.99,,,0,4.3,FBA,2,No
B01MSQDE0U,"Mind Reader ' Comfy ' Adjustable Height Ergonomic Foot Rest, Blk",$42.95,"$1,454",8544,18770,4.1,FBA,3,No
B0FBRK2BX7,"StrongTek Height-Adjustable Footstool – Ergonomic Wooden Footrest for Under Desk, Non-Slip & Durable, Ideal for Office and Home",$50.99,$98,61006,59,4.8,FBA,4,No
B0FSK99J1C,"Foot Rest Under DeskAdjustable,Six Heights Adjustable Under Desk Footrest ,Ergonomic Foot Stools for Under Office Desks, Foot Stools for Under Office Desk, Under Desk Footrest with Foot Massage Roller (black)",$27.99,,,0,4.4,FBA,5,No
B0FSRZ2756,"Sooyee Foot Rest for Under Desk, Ergonomic 6-Level Adjustable Footrest with Massage Rollers – 3.1 to 7.1 Inch Height – Sturdy ABS Frame for Home Office & Gaming, Relieve Leg Fatigue (Black）",$28.88,,,0,5,FBA,6,No
B0DZ1ZLHMG,"Foot Rest for Under Desk at Work, Gaming Accessories Foot Stool with 3 Adjustable Heights, Memory Foam Foot Rest Cushion Ergonomic Footrest for Office, Home and Car",$39.99,,,0,4.4,FBA,7,No
B0GRLQZR85,"Foot Rest Under Desk Adjustable-Metal Support Rod, Ergonomic Design for Office & Home Comfort",$39.99,,,0,4.3,FBA,8,No
B0FY59DWBW,Uross Foot Rest Under Desk at Work - Ergonomic Foot Rest Under Desk Velvet Soft Foam Foot Rest Cushion for Office Chair Home Office Gifts Gaming Accessories Foot Stool Support for Desk (Black),$31.99,,,0,4.7,FBA,9,No
B0G5DPYLPS,"Under Desk Footrest, Foot Rest for Under Desk at Work, Ergonomic Foot Stool for Office Desks, Small Rocking Footrest with Massage Roller, Leg Rest for Chair, Computer Gaming - Promote Leg Circulation and Rest Pain Relief",$19.94,,,0,3,FBA,10,No
