ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CDYLP9M9,"ARTESORI Premium Wedding Vow Book for Her & Him, Soft Touch, Gold Foil, 28 Lined Pages, Wedding Vow Books His and Hers, Wedding Essentials, Wedding Registry Ideas, His and Hers Gifts [Ivory & Black]",$9.95,"$4,415",8085,1386,4.8,FBA,1,No
B0DBLMGWF4,"ARTESORI Wedding Vow Books His & Hers - Wedding Registry Gifts Ideas for Bride & Groom, Vow Books for Wedding - Soft-Touch, Gold-Foiled, 28 Lined Pages Vow Book for Her & Him [Ivory & Terracotta]",$7.95,$557,72908,196,4.8,FBA,2,No
B0GS5ZG5NN,"CICPAP Wedding Vow Books His and Hers, Set of 2 Vow Books for Wedding Ceremony, 5.5 x 4 inch, Pocket Size, 28 Lined Pages, Soft Cover with Gold Foil, Bride and Groom Keepsake Gift for Couples",$5.99,$4,368541,0,4,FBA,3,No
B0FM85P3JY,"Set of 2 Vow Books His and Hers, Wedding Vow Books, Wedding Essentials, Wedding Must Have 2026, His and Hers Gifts, Wedding Gift for Bride And Groom, Toile De Jouy, Bridal Something Blue Gifts",$16.99,$229,57148,18,5,FBA,4,No
B0F6NH6XST,"Vow Books His and Hers - Linen Wedding Vow Books Perfect as Bride & Groom Gifts, Wedding Registry Ideas - His & Hers Gifts Wedding Vow Book - Wedding Essentials & Accessories [Ivory & Terracotta]",$17.98,$944,44229,192,4.8,FBA,5,No
B0F4DK1YNC,"Engrowtic Set of 2 Vow Books His and Hers, Wedding Vow Books (6.06x4.17) Wedding Keepsake Essentials Elegant Bridal Shower Ceremony Gift Elopement Essentials(Blue,Floral)",$20.99,$567,87327,49,4.8,FBA,6,No
B0CDY6NNKV,"ARTESORI Premium Wedding Vow Book for Her & Him, Soft Touch, Gold Foil, 28 Lined Pages, Wedding Vow Books His and Hers, Wedding Essentials, Wedding Registry Ideas, His and Hers Gifts [Ivory & Navy]",$9.95,"$4,415",8085,1386,4.8,FBA,7,No
B0DQ27QJ1Z,Wedding Vow Books His and Hers - 2 Pack Personalized His & Hers Book - Linen Hardcover Bride and Groom Notebook for Ceremony Vows - Bookmark & Lined Pages - Renewal & Wedding Must Haves,$22.99,"$1,915",121696,234,4.9,FBA,8,No
B0G8JT2VC8,Elegant Wedding Vow Books with 5 Ribbons - Perfectly Sized His and Hers Vow Book Set of 2 with Lined Pages to Write Whatever is on Your Heart - A Beautiful Personalized Addition For Your Wedding Day,$8.99,"$1,101",40735,20,4.6,FBA,9,No
B0GFDN78JB,"Engrowtic 2 Set Wedding Vow Books Her His Vows Elegant Wedding Books with Ribbons A6 Pocket Size Vow Journals for Bridal Shower, Engagement Keepsake(White)",$20.99,$293,105197,2,5,FBA,10,No
