ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F6CQSMKN,"Mooker 55 Rolls Holiday Washi Tape Set - Decorative Tape Seasonal Bohemian Colored Tape, Cute Washi Tapes for Journaling Supplies, Scrapbooking Supplies kit, Summer Scrapbook Supplies",$13.49,"$1,367",,257,4.7,FBA,1,No
B08L5PB8N6,"Mr. Pen- Washi Tape Set, 21 Rolls, Assorted Sizes, Floral, 5 Yards/Roll, Washi Tape for Scrapbook, Arts, Crafts, Journals and Planners",$6.29,"$10,429",,4764,4.7,FBA,2,No
B0BCPP2FGG,"Mooker 39 Rolls Washi Tape Set - Morandi Colored Masking Tape, Thin Vintage Tape for Journaling, Scrapbooking Supplies, Crafts Aesthetic, Gift (Nature Color 10mm)",$8.99,"$1,310",,1793,4.4,FBA,3,No
B0CLNZGLJL,"Vintage Washi Tape Set 20 Rolls Skinny Retro Decorative Antique Patterns Masking Tapes for Arts, DIY Crafts, Journals, Planners, Scrapbook, Wrapping (Vintage)",$7.99,"$1,019",,581,4.4,FBA,4,No
B0B73MXS2Q,"24 Rolls Vintage Washi Tape Set, Floral Letter Butterfly Mushroom Botanical Flower Writable Decorative Tapes for Scrapbooking , Junk Journal supplies, Bullet Journaling 5-75mm Wide 9.84ft long/Roll",$9.99,"$4,406",,3239,4.6,FBA,5,No
B0C88W6P5B,"emmoolife 50 Rolls Washi Tape Set, 15mm Wide Rainbow Colored Tape Aesthetic Design Masking Decorative Tape for Scrapbooking Supplies, Bullet Journaling, Junk Journal, Wrapping Planners, DIY Arts Craft",$12.99,"$4,406",,3240,4.6,FBA,6,No
B0DG5NYVKC,"PAGEMORE 32 Rolls Washi Tape Set, Colored Floral Decorative Masking Tape, Artists Tapes for Journaling, Junk Journal, DIY Craft Projects, Scrapbooking Supplies Decor",$9.49,"$3,558",,454,4.4,FBA,7,No
B0F1879HZX,"Washi Tape Set 30 Rolls, Decorative Tape, Colored Tape, Scrapbook Tape, Craft Tape for Scrapbook Supplies, Journaling, Washy Tape, Washy",$6.99,"$4,012",,531,4.4,FBA,8,No
B08TWB425H,"KUNMINGER 40 Rolls Washi Tape Set - 15 mm Wide Colored Decorative Tape for DIY Crafts, Junk Journal Supplies, Scrapbooking Supplies, Bullet Journals, Planners, Party Decorations",$9.99,"$2,002",,2836,4.4,FBA,9,No
B0BMQ76XTG,"DIVERSEBEE Pastel Washi Tape Set, 5 Rolls Decorative Scrapbook Tape, Cute Craft Tape, Scrapbooking Bullet Journal Supplies, Bible Journaling, Planner Accessories, Gift Wrap Tape (Forest)",$6.99,$857,,729,4.6,FBA,10,No
