ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F197SCL6,"New York Central Eternity Ninety Flat Book- 8x10 Sketch Watercolor Journal, Pack of 10- Black Soft Paperback- Watercolor Sketchbook w/Elastic Band, 100 Total Sheets 100% Cotton, 90 lb Cold-Pressed",$108.97,$11,,28,4.1,FBA,1,No
B0FBW4PBPC,"Watercolor Paper Block 9x12 Inch, Fuumuui 100% Cotton Paper Pad, 22 Sheets, Cold Pressed, Acid-Free, 140 lb/300gsm for Painting, Drawing, Art Journaling, Professional Artist Quality",$18.69,"$1,163",,204,4.5,FBA,2,No
B0CZS38YCM,"New York Central Watercolor Paper - 16x20-1 Pack of 5 Sheets - 300 lb. Cold Press - 100% Cotton, Acid-Free, Archival Quality, Bright White Watercolor Paper Pad for Wet & Dry Media",$52.99,$63,,117,4.6,FBA,3,No
B0F1GCCPS2,"New York Central Watercolor Paper - 16x20-5 Packs of 10-50 Total Sheets - 140 lb. Cold Press - 100% Cotton, Acid-Free, Archival Quality, Bright White Watercolor Paper Pad for Wet & Dry Media",$171.97,,,22,,FBA,4,No
B0D62QJTS3,"Funto Classic Hardcover Watercolor Journal, 8.5x5.5(2-Pack)-140lb Cold Press Paper, Lay-Flat Binding,Inner Pocket, for Adults & Artists",$26.99,$23,,145,4.6,FBA,5,No
B0FLQ4DBHX,"Watercolor Journal - 100% Cotton Cold Press Paper | 20 Sheets 40 Pages | 300GSM (140lb) | Linen Cotton Cover Watercolor Sketch Books for Artists Painting,Mixed Media 7.48 x 7.48 in",$20.99,$156,,49,4.7,FBA,6,No
B0DXF96T9K,"KOVIEDE 100% Cotton Watercolor Paper Pad 3 Pack (90 Sheets) Cold Press 140lb/300gsm Spiral Bound Watercolor Sketchbook, Artist Quality Art Journal Supplies (Floral-3 Pack, 5.5“x8.5)",$21.99,"$1,021",,268,4.6,FBA,7,No
B0BJ7NTWZF,Arches® Aquarelle Travel Pad,$22.46,$971,,676,4.8,FBA,8,No
B0C556CM18,"Non-Warping 100% Cotton Watercolor Paper Block - 20 Sheets of 160lb/350gsm Cold Press Water Color Art Supplies for Wet, Dry, and Mixed Media Painting, for Watercolor, Gouache, Acrylic (7 x 5'')",$9.99,"$1,839",,852,4.6,FBA,9,No
B0DK6HD2FC,"Lightwish Square Watercolor Journal, 100% Cotton Cold Press Watercolor Paper Sketchbook 7.48”x 7.48”, 20 Sheets (140lb/300gsm), Acid-Free for Watercolors, Gouache, Acrylics",$22.99,$239,,172,4.5,FBA,10,No
