ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0BW9658TW,"WDT Espresso Distribution Tool Espresso Stirrer Tools for Barista, 0.35mm 7 Needles Espresso Coffee Stirrer with Extra 7 Replaceable Needles, Aluminum Alloy Handle with Stand (Black)",$19.99,"$2,967",9606,1468,4.7,FBA,1,No
B0BH8MRB2Z,"WDT tool, Espresso Distribution tools, 10 x 0.35mm 304 Stainless Steel Needles Installed with 10 Extra needles for Espresso Stirrer Replacement, Aluminum Alloy Handle with Stand (Matte black)",$13.00,"$1,179",64580,1259,4.7,FBA,2,No
B0CTQH3FMW,"Jeymei WDT Espresso Distribution Tool,Espresso Whisk with 8 Extra 0.35mm 304 Stainless Steel Needles，Espresso Comb Tool for Barista Black Coffee Ground Stirrer",$11.99,"$1,574",31395,524,4.6,FBA,3,No
B0GCZPJ59Z,"WDT Espresso Distribution Tool Espresso Stirrer Tools for Barista, 0.35mm 7 Needles Espresso Coffee Stirrer with Extra 7 Replaceable Needles, Aluminum Alloy Handle with Stand (Silver)",$15.99,$17,593349,9,5,FBA,4,No
B0FDGVZT38,"54mm WDT Tool Espresso Accessories Kit,GdHaHSP Dosing Funnel and Puck Screen Set,Espresso Stirrer Distribution Tool,Espresso Whisk for espresso tools",$22.99,$317,116655,177,4.6,FBA,5,No
B0CPBCBT64,"Nessus WDT Espresso Distribution Tool, Espresso Accessories with Built-in Cleaning Brush, 0.35mm 10 Needle Distributor and Extra 10 Needles for Espresso Stirrer, Aluminum Handle with Stand for Barista",$11.99,"$1,520",20211,516,4.5,FBA,6,No
B0F23MZPL5,"Coffee Stirrer Tool, Coffee Stirring Tamper WDT Distribution Tool, Needle Distribution Tool Espresso, WDT Tool Espresso with Stand Black, WDT Tool Espresso Needle",$9.99,"$1,086",38360,78,4.7,FBA,7,No
B0G49MRDHM,"WDT Espresso Distribution Tool Kit, 0.35mm 10 Stainless Steel Needles, One-Piece Molded for Strength and Durability",$5.59,$72,119361,26,4.1,FBA,8,No
B0DSV2CQZL,"Normcore WDT Distribution Tool with Stand V3, Weiss Distribution Technique, 9 Prong Needle Espresso Stirrer, American Walnut Wood Handle",$32.99,"$1,570",34706,600,4.6,FBA,9,No
B0DY7NP5YC,"ShanSon WDT Espresso Tool with Brush Base Coffee Powder Distributor Needle WDT Tool for Barista Coffee Bar Espresso Distribution Tool,58mm,Gray&Black",$29.99,$29,579777,33,3.5,FBA,10,No
