ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DRS78NHC,"Breast Pumps Carrying Bag Compatible with Most of Wearable Breast Pumps, Hard Shell Wearable Breast Pump Bag with Waterproof Removable Tray, Breast Pump Storage Bag",$23.74,$422,8753,90,4.6,FBA,1,No
B0BNZT8TJT,"Fasrom Wearable Breast Pump Bag with Cooler Compatible with Momcozy, Medela and Elvie Pumps, Portable Pump Carrying Case for Working Moms, Black (Bag Only, Patent Design)",$25.99,$67,28339,235,4.6,FBA,2,No
B0DS8TM9BR,"Wearable Breast Pump Bag Carrying Case for Momcozy & Willow, Use with Hands Free Wearable Breast Pumps for eufy Security/Medela/Bluefair, Travel Pumping Bag with Nipple Ruler & Removable Tray(Holds 2)",$25.99,$274,13567,76,4.7,FBA,3,No
B0D6Z1YXQ3,"Wearable Breast Pumps Carrying Bag, Hard Shell Case with Removable Tray, Watertight Breast Pump Storage Bag Compatible with Most of Wearable Breast Pumps, Holds 2 Pumps",$22.98,$95,22663,96,4.6,FBA,4,No
B0D291VHGK,"Breast Pump Bag Compatible with Spectra S1 and S2 with Insulated Compartment,Breast Pump Storage Bag with Water Resistant Mat for Pumping Essentials,Black,Bag Only",$25.99,$148,18369,175,4.7,FBA,5,No
B0BN2TJYC9,"Fasrom Wearable Breast Pump Bag Compatible with Momcozy, Medela and Elvie Hands Free Pumps, Portable Carrying Case with Waterproof Mat for Working Moms Travel, Black (Bag Only, Patent Design)",$21.99,$130,18880,239,4.6,FBA,6,No
B0GC59TJRB,"Wearable Breast Pump Bag Compatible with Momcozy, Medela and Eufy Pumps, Portable Pumping Bag with Handle for Work, Travel, and Family Use, Black",$26.99,$234,13808,14,5,FBA,7,No
B0D2NJ2TNG,"Breastmilk Cooler Travel Bag, Wearable Breast Pump Storage Bag Compatible with Momcozy/Eufy/Elvie/Willow/Medela Breast Pump with Ice Pack and Waterproof Mat,Black",$24.99,$330,11473,197,4.5,FBA,8,No
B0DKMR693K,"Wearable Pump Bag with Cooler Compartment Fits for Willow/Eufy/Elvie/Momcozy M5/S12 Pro/Medela, Breast Milk Travel Tote Bag with Ice Pack & Waterproof Mat,Apricot",$29.99,$723,4488,177,4.7,FBA,9,No
B0FNMTWKQX,"Wearable Breast Pump Bag - Fits Elvie, Willow, Momcozy and All Others - Beige Small Pump Bag with Wrist Strap – Hands-Free Pump Carrying Case and Storage for Travel",$25.95,$99,18164,379,4.4,FBA,10,No
