ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GJTG6PLD,Injection Site Rotation Tracker: For Insulin & Other Injectable Medications,$7.99,$2,2440470,0,,FBA,1,No
B0GDMMQ4MB,"The 90-Day Injection & Wellness Log: A Daily Tracker for Protein Intake, Site Rotation, and Body Metrics | Compatible with Weekly Peptide or Insulin Routines",$9.99,,,0,,FBA,2,No
B0BYRC9PFC,Injection Data Tracker (Tracking Your Life),$4.99,,,0,,FBA,3,No
B0GDMDTDR7,"GLP-1 90 Day Injection Log and Wellness Tracker-Daily, Weekly & Monthly Tracking with 90 Day Summary: record daily hunger, side effects, energy, mood, and overall health (Kindwell Wellness Series)",$10.99,$2,853972,1,5,FBA,4,No
B0DHW5XHTN,Injection Tracker Log Book: Nurses and Healthcare Providers Record Logbook | Track Your Insulin usage and Glucose levels before and after meals and bed time,$9.99,,,0,5,FBA,5,No
B0GVZFQKLB,"My GLP-1 Journey (Weight Loss Injection Tracker): The complete 52 Week Daily Log Book for Wegovy, Mounjaro & Ozempic",$13.22,,,0,,FBA,6,No
B0FSXB7Z7V,"Weight Loss Injection Log: Track weekly injections, doses, side effects, and notes with ease",$8.99,,,0,5,FBA,7,No
B0CN524YFD,Injection tracker: RemsimaSC,$4.92,,,0,,FBA,8,No
B0FQ3T813B,Injection Tracker Log Book: Track Your Insulin usage and Glucose levels before and after meals and bed time | Nurses and Healthcare Providers Record Logbook | 100 Forms,$9.99,,,0,,FBA,9,No
B0CH2BRLFR,"Essential Wegovy Log | Journey Continues: The Ultimate Companion Tracker for Your Continued Weight Loss Journey Using Medication Support | Set Goals, ... on Progress and Achieve Your Milestones",$9.99,,5078611,0,,FBA,10,No
