ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0G7V1Q53M,"Insulin Cooler Travel Case for Wegovy Pens – Diabetes Carrying Insulated Bag with 2 TSA-Approved Ice Packs, Long-Lasting Cooling for Wegovy Pens, Ideal for Travel and Daily Use.",$19.99,$789,36447,24,4.4,FBA,1,No
B0BVHCHP52,"Gelozid Insulin Pen Cooler Travel Case Diabetic Medication Insulated Cool Organizer with 2 Reusable Ice Packs for Insulin Pen and Other Diabetic Supplies, for the Daily Life and Trip(Black)",$6.99,"$6,045",6987,2252,4.7,FBA,2,No
B0GTR58GZM,"Cooler Travel Case, Compatible with Zepbound or Ozempic Pens, Real-Time Temperature Display Portable Medicine Travel Bag, TSA Approved Reusable Ice Pack, Insulin Organizer for Daily Use",$17.99,,,0,4.7,FBA,3,No
B09STV71L8,"YOUSHARES Insulin Cooler Travel Case - Diabetic Insulated Organizer Portable Cooling Bag for Medication Cooling Insulation, Insulin Pen Case with 2 TSA Approved Travel Cooler Ice Pack (Marble Purple)",$13.99,"$1,260",27989,991,4.6,FBA,4,No
B0F1FPSLVN,"AUVON Insulin Pen Cooler Travel Case with 2 x 90g TSA Approved Ice Packs, Diabetic Medication Insulated Cooling Bag for Insulin Pens and Diabetic Supplies Storage, Compact for Daily Life and Trips",$8.99,"$19,887",1416,3358,4.6,FBA,5,No
B0BW96BB54,"AUVON Insulin Cooler Travel Case with 4 × 160g Ice Packs for Longer Cooling Effect, TSA-Approved Medication Cooler Bag for 8 Insulin Pens & Diabetic Supplies, Portable Handle for Diabetic Travelers",$26.99,"$2,129",14472,719,4.8,FBA,6,No
B0D22KQVTG,"CDBXPRG Insulin Pen Cooler Travel Case with TSA Approved Ice Packs,Diabetic Medication Insulated Cool Organizer,Insulin Pen and Other Diabetic Supplies, for the Daily Life and Trip Black",$6.59,"$1,585",26944,857,4.6,FBA,7,No
B0C7KBXD7L,"Insulin Pen Cooler Travel Case, Portable Diabetic Medication Supplies Accessories Organizer Bags for Women, Keep Medicine Cool While Traveling, TSA Approved Ice Pack",$11.99,$114,100438,92,4.5,FBA,8,No
B0CHMR9QKB,"Gelozid Insulin Cooler Travel Case Diabetic Medication Insulated Cool Organizer with 2 Reusable Ice Packs for Insulin Pen and Other Diabetic Supplies, for The Daily Life and Trip, White Flower",$9.99,"$5,868",7207,2255,4.7,FBA,9,No
B0GTR6DMCY,"Cooler Travel Case Compatible with Ozempic or Wegovy Pens, Real-Time Temperature Display Portable Medicine Travel Thermos, TSA Approved Reusable Ice Pack, Insulin Organizer for Daily Use (Black)",$26.99,,,0,4.6,FBA,10,No
