ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CCV3VFGY,2-in-1 Speed Rope: 2mm for Boxing/MMA & 3mm for CrossFit - Tool-Free Adjustable Cable System with Dual Bearings - Sweatproof Hybrid Grip for High-Intensity Training,$22.00,$381,29119,291,4.4,FBA,1,No
B08PVZKY9F,PrimaFIT Jump Rope Pro Speed Skipping Rope Adjustable Adult Jumping Rope Weighted Aluminium Handles for Double Dutch Boxing Workout Crossfit Exercise Fitness Spare Cable Weights Protectors Carry Bag,$24.99,$146,60620,2235,4.4,FBA,2,No
B08RB46DBY,"Redify Weighted Jump Rope for Workout Fitness(1LB), Tangle-Free Ball Bearing Rapid Speed Skipping Rope for MMA Boxing Weight-loss,Aluminum Handle Adjustable Length 9MM Fabric Cotton+9MM Solid PVC Rope",$25.98,"$5,302",931,3513,4.5,FBA,3,No
B0892XB8MD,"Jump Rope, High Speed Weighted Jump Rope - Premium Quality Tangle-Free - Self-Locking Screw-Free Design - Jump Ropes for Fitness - Skipping Rope for Workout Fitness, Crossfit & Home Exercises",$11.99,"$2,723",2789,4094,4.5,FBA,4,No
B0CR6QHR2K,"Titan Armour® Speed Rope - Professional Self-Locking & Adjustable, Adult Speed Jump Ropes for Fitness | 2 x Steel Ropes, Cable Protector & Travel Case | Jump Rope Crossfit, Boxing, Fitness MMA for Men & Women",$26.98,$898,10474,412,4.3,FBA,5,No
B09DF9NWC7,"Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women, Men & Kids, Adjustable Steel Jump Rope with Foam Handles for Home Gym Exercise Fitness Workout Equipment & Slim Body",$8.99,"$41,945",22,24350,4.5,FBA,6,No
B07J51VB8L,"BRANK SPORTS® Speed rope set incl. 3 steel spare cables | Ideal for Crossfit, fitness, boxing and easy double under | Jump ropes for fitness women and men premium bearing balls | Unbreakable handles",$23.99,$168,58860,4396,4.4,FBA,7,No
B074SFXC3C,"Epitomie Fitness Sonic Boom M2 High Speed Jump Rope - Patent Pending Self-Locking, Screw-Free Design – Weighted, 360 Degree Spin, Silicone Grip with 2 Speed Rope Cables for Home Workout, & More",$37.86,$86,33332,5032,4.3,FBA,8,No
B08P2TVY5Q,"Replacement Cable for Speed Jump Rope, 6pcs 10ft Stainless Steel Wire with Polymer Coating for High Speed Jump Ropes",$12.99,$123,68412,237,4.4,FBA,9,No
B086KTYPPQ,"Jump Rope, Wastou Speed Jumping Rope for Training Fitness Exercise, Adjustable Adults Workout Skipping Rope for Men, Women, Kids, Girls",$8.99,"$1,398",8647,10281,4.5,FBA,10,No
