ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CGTKQGFH,"Quiet Mind Weighted Pillow for Anxiety, Sleep & Sensory Relief | Premium Deep Pressure Comfort Pillow for Adults (Small), (6 Lbs), (Blueberry)",$159.99,$85,415438,99,4.2,FBA,1,No
B07F6Q78Y4,Fun and Function Sensory Vibrating Lap Pad - 4.5 lb Weighted Vibrating Pillow - Sensory Pillow for Calming Weight & Soothing Vibration - Weighted Lap Pad for Kids & Adults with Sensory Needs,$95.49,$13,411806,7,4.6,FBA,2,No
B07QT96RCC,"Florensi Weighted Lap Pad – 5 lb, 20 x 23 in, Blue Constellations – Portable Weighted Comfort Blanket – Soft Sensory Lap Throw – Machine Washable Travel & Home Relaxation Blanket",$29.99,$802,72345,866,4.7,FBA,3,No
B0826KN6RF,"FRIENDLY CUDDLE Weighted Lap Blanket for Kids & Adults – Kids Weighted Blanket – ASD, Sensory Processing Weighted Stuffed Animals Dog Toy – Microwavable Weighted Lap Pad for Kids, 5 Lbs.",$39.99,$820,54171,1101,4.6,FBA,4,No
B0DYDBPZ32,"NOWWISH 5lbs Weighted Heating Pad, Small Electric Heated Weighted Blanket with 6 Heat Settings, Timer & Auto Shut-Off, Relief for Period Cramps, Back Pain, Lap, Machine Washable, 29x24 inch, Grey",$59.99,$332,159011,69,4,FBA,5,No
B07PCR8L9Q,MAXTID Sensory Weighted Dual Texture Shoulder Wrap 4-Pounds for Adults,$38.97,$416,58679,375,4.6,FBA,6,No
B0DJ78XSNH,"Weighted Lap Blanket 7 lbs for Adults, Luxury Soft Small Weighted Blanket, Compact Portable Weighted Lap Pad for Relaxation, Sleeping, Travel, All-Season Use, Forest Green, 40"" x 52""",$33.98,$826,50905,227,4.6,FBA,7,No
B0D38MLRCM,Weighted Lap Pad – 5lbs Sensory Lap pad with Easy to Maneuver Sequins – Ideal for Kids Sensory Play (Blue and Silver),$24.95,$369,63016,115,4.8,FBA,8,No
B08626CB31,Florensi Weighted Lap Pad 20 x 23 Inch 7 lb Blue Constellations Weighted Lap Blanket Soft Minky Sensory Blanket for Relaxation Focus Travel Office Home Machine Washable,$29.99,$802,96483,865,4.7,FBA,9,No
B0C7FD2Q73,"FRIENDLY CUDDLE Weighted Lap Blanket for Kids & Adults – Kids Weighted Blanket – ASD, Sensory Processing Weighted Stuffed Animals Dog Toy – Microwavable Weighted Lap Pad for Kids, 5 Lbs",$39.99,$820,31531,1101,4.6,FBA,10,No
