ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FHH83JH1,"Mewaii Weighted Stuffed Animals 5 lbs Adjustable, Heated & Coolable 23 Inch Plush for Realistic Hug, Microwavable Removable Inner Pad, Cat Gifts for Adults & Kids (Black)",$32.39,"$1,942",3443,452,4.8,FBA,1,No
B0BY3JJPQL,"Lilly's Love Weighted Stuffed Animals for Adults & Kids — 5lb Calming Sloth Plush for Anxiety, ADHD & Sensory | Machine Washable Weighted Stuffed Animal w/Removable Insert | Stevie The Sloth",$34.99,"$2,004",3417,1031,4.7,FBA,2,No
B0B9DSF6VW,"YESGIRL 26.8 inch 5 lbs Dog Weighted Stuffed Animals, Large Weighted Plush Animal, Cute Plush Toy Pillow, Gifts for Adults, Kids, Boys and Girls",$35.99,"$1,317",14100,901,4.7,FBA,3,No
B0F6VLYD2H,"HUGIMALS Hugarounds Ollie the Orangutan 2.5 lb Microwaveable & Freezable Weighted Plush Neck & Shoulder Wrap | Soothing, Comforting Hugs for Self-Care & Relaxation | Unscented for Ages 2+",$45.00,$971,14891,168,4.5,FBA,4,No
B0G6K5GXH4,"Highland Cow Microwavable Stuffed Animal – 1.5 lb Unscented Heating Pad Plush, Soft Cozy Cute Cow Toy for Relaxation and Comfort, Gift for Women, Girls, Adults & Kids by Happy Fuel",$19.57,"$2,242",8484,444,4.6,FBA,5,No
B0C2J5WLL5,Weighted Stuffed Animal for Anxiety | Calming & Comforting 5 Lbs | Weighted Plush Animal Sloth | Anxiety Stuffed Animals for Adults & Kids | Carrying Bag Included | Machine Washable Weighted Plushie,$24.99,"$1,304",11980,1270,4.8,FBA,6,No
B0FLXZ5TVH,"Mewaii 4 Lbs Weighted Stuffed Animals with Heating Pad- Heavy Belly & Limbs, 15"" Sloth Heated Plush for a Realistic Hug, Super Soft Fluffy Plush Toy for Kids",$29.99,"$1,471",9929,127,4.5,FBA,7,No
B0GJT27R5Q,"Mewaii Weighted Stuffed Animals with Microwavable Heating Pad - 5 lbs Adjustable, Heatable & Coolable Dog Stuffed Animal for Realistic Hug, Removable Inner Pad, Plush Gifts for Adults & Kids(23 Inch)",$49.99,$389,29256,36,4.8,FBA,8,No
B0FXY1V72D,"HUGIMALS Forrest the Fox 20 Inch 4.5 lb Heavy Cute Sensory Weighted Comfort Plush | Large Unscented Washable Self Care Calming Stuffed Animal for Kids, Teens and Adults",$68.00,$739,23117,1061,4.7,FBA,9,No
B0FCQCBN5T,Lilly's Love Heatable & Coolable Lavender Scented Weighted Stuffed Animal - Microwavable Heatable Pad for Kids & Adults - Machine Washable Plushie - Calming Stuffed Animal for Anxiety,$29.99,"$2,004",3927,1039,4.7,FBA,10,No
