ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08GYKQLD4,"Reusable Half Face Cover Set, Half Face Respirаtor, Personal Protective Equipment Filter for Painting, Decorating Carpentry, Welding, Metal Cutting, Same Scene as 6000 6200 7000 FF-400 (Medium)",$35.99,"$2,723",4315,1539,4.4,FBA,1,No
B0BFDG7B6K,"AirGearPro G-750 Respirator Full Face Mask with A1P2 Filters Anti-Gas, Anti-Dust | Gas Mask Ideal for Painting, Woodworking, Construction, Sanding, Spraying, Chemicals, DIY etc",$94.99,$316,52430,473,4.3,FBA,2,No
B09PRK4T8Z,"BASE CAMP M Plus Dust Mask, Breathable Reusable Face Mask with 6 Activated Carbon Filters for Woodworking Construction Mowing Grinding (Modern1)",$19.99,"$7,148",964,2874,4.3,FBA,3,No
B0GWTVH4Z4,"Respirator Mask with Filters, Respirator Mask for Chemical, Epoxy Resin, Spray Painting, Sanding, Woodworking, Welding Work",$57.99,$207,38324,2,4.5,FBA,4,No
B0GCSLWGWJ,"Reusable Silicone Half Face Respirator Mask with Filters - Gas Mask for Welding, Woodworking, Spray Paint, Dust, Chemical & Pollen Protection",$34.98,"$1,082",13612,41,4.4,FBA,5,No
B00V7UUNU4,"Miller ML00894 Lpr-100 Respirator W/Filters, Small/Medium",$49.49,$542,24762,973,4.6,FBA,6,No
B013SIIBFQ,"GVS SPR457 Elipse P100 Dust Half Mask Respirator with replaceable and reusable filters included, blue, m/l size",$55.46,"$1,045",8021,6368,4.6,FBA,7,No
B007JZ1N00,"3M Half Facepiece Reusable Respirator 6200, NIOSH, Four-Point Harness, Comfortable Fit, Dual Airline Supplied Air Compatible, Bayonet Connections, Painting, Sanding, Cleaning, Medium",$16.39,"$7,802",748,25704,4.6,FBA,8,No
B0CQ3XCKP5,"Klein Tools 60552 Reusable P100 Half-Mask Respirator with Replaceable Filters for Dust, Metal Fumes, and Oil Mist, M/L",$32.98,$181,14661,188,4.5,FBA,9,No
B001NDN29O,"3M Half Facepiece Reusable Respirator Assembly Kit 6391, Size Large, P100, Lightweight, Comfortable, Easy to Adjust, Includes 2091 Particulate Filter, Welding, Soldering, Asbestos",$29.99,"$1,457",7861,1918,4.4,FBA,10,No
