ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FGCQX62F,Portable Sound Machine Baby White Noise Machine Travel Noise Machine with 30 Soothing Sounds for Newborn Kids Adults Battery Sleep Brown Noise Masker 4 Timers Memory Function for Travel Home Office,$16.14,"$1,036",27261,127,4.7,FBA,1,No
B0BBQX7P5J,"Dreamegg Portable Noise Machine for Baby Adult, Features Powerful Battery, 21 Soothing Sound, Noise Canceling for Office & Sleeping, Sound Therapy for Home, Travel, Registry Gift, Classic White",$19.99,"$17,703",1826,10446,4.6,FBA,2,No
B0GQXKMHVD,Portable Travel Sound Machine White Noise Machine 40h Battery Brown Noise Machine 30 Soothing Sounds & Hushing Sound for Baby 4 Timers Memory Function 32 Adjustable Volume for Kids Adults Home Office,$19.99,$560,48316,30,4.8,FBA,3,No
B09YRYM9XF,"FamiSym White Noise Sound Machine Baby for Sleeping with Night Light – 34 Soothing Sounds, Rechargeable White Noise Machine for Kids Adults, Portable Lullaby Sleep Machine Baby Soother Home Travel",$19.99,"$2,276",13652,2544,4.5,FBA,4,No
B0CYL4ZVWP,Battery Sound Machine Mini White Noise Machine Baby Shushing Portable Brown Noise Machine 30 Soothing Sounds for Kids Adults Dogs Auto-Off Timer 32 Volume Levels Sleep Machine for Home Office Privacy,$14.44,"$4,160",13247,731,4.7,FBA,5,No
B0DT6ZPT5X,"Portable Baby Sound Machine [White Noise for Babies Kids Adults][Timer Function][12 Soothing Sounds][Sleep Soother] 15 Hours Battery Life, Travel,Registry,Gifts,Shower,Clips on Baby Stroller",$14.39,"$16,358",80,2021,4.7,FBA,6,No
B01D50RYSC,"Yogasleep Hushh Portable White Noise Sound Machine for Baby, 3 Soothing Natural Sounds with Volume Control, Compact Size, Noise Canceling for Sleep Aid, Office Privacy, & Meditation, Registry Gift",$25.99,"$4,663",7198,28381,4.6,FBA,7,No
B0C5S8VB2K,Hatch Go | Portable Sound Machine for Babies and Kids | Sleep Soother | 10 Soothing Sounds | White Noise | Shush | Travel | Registry Gift | Baby Shower | Clips on Stroller | Putty,$39.99,"$21,901",143,5095,4.7,FBA,8,No
B0DZXCKRGB,Sound Machine Mini White Noise Machine with 30 Soothing Sounds 4 Timers Memory Function for Newborn Baby Kids Adults Portable Rechargeable Sleep Brown Noise Machine for Travel Camping Home Office,$14.24,"$8,818",5883,2865,4.7,FBA,9,No
B0DZBMV3LM,"Momcozy Portable Sound Machine with Night Light, White Noise Sound Machine for Baby, 20 Soothing Sounds, Sound Therapy, Long-Lasting Power, Timer, Clips on Stroller, Baby Shower Gifts",$27.99,"$7,197",575,1124,4.5,FBA,10,No
